,final_address,st_name_ch,op_date,adjR2,floor_factor,floor_p,sample_size,floor_factor/npsf,intercept,npsf,unit_adj_dict
0,"THE PACIFICA(Phase 1),Block 3,SHAM SHING RD|宇晴軒1期,3座,深盛路",深盛路,2005/02,0.2743969718169663,16.73887888683182,0.0,803,0.0009653380354911142,16293.89118589453,17339.914383789863,"{'B': {'unit_factor': -171.4972525318412, 'unitFactor_p': 0.25513394348812835}, 'C': {'unit_factor': -420.35972880648944, 'unitFactor_p': 0.009029837851021627}, 'CD': {'unit_factor': -960.7667285772409, 'unitFactor_p': 0.45721014872288723}, 'D': {'unit_factor': 1550.9475973545227, 'unitFactor_p': 0.0}, 'E': {'unit_factor': 862.1700634943236, 'unitFactor_p': 3.189888664323348e-08}, 'F': {'unit_factor': 980.9389322407968, 'unitFactor_p': 2.991179304245861e-09}, 'G': {'unit_factor': 1526.7396054481972, 'unitFactor_p': 0.0}, 'G & H': {'unit_factor': -627.3610719282435, 'unitFactor_p': 0.4946644035474357}, 'H': {'unit_factor': -185.5059944699014, 'unitFactor_p': 0.24828272607195334}}"
1,"LIBERTE(Block 1),LAI CHI KOK RD|昇悅居1座,荔枝角道",荔枝角道,2003/08,0.36741494786003137,38.37799487479794,0.0,745,0.0022649163734106002,15592.21627069475,16944.552710794724,"{'B': {'unit_factor': 311.55626176179396, 'unitFactor_p': 0.0198283948644713}, 'C': {'unit_factor': 402.3819705581572, 'unitFactor_p': 0.002218317295860528}, 'D': {'unit_factor': 41.75789005485024, 'unitFactor_p': 0.7350865216094409}, 'E': {'unit_factor': -434.1285458065975, 'unitFactor_p': 0.00038379258752163636}, 'F': {'unit_factor': 981.1350731909124, 'unitFactor_p': 5.551115123125783e-14}, 'G': {'unit_factor': 1197.6333012847992, 'unitFactor_p': 0.0}, 'H': {'unit_factor': -81.8797172065033, 'unitFactor_p': 0.5013947108321863}}"
2,"CHARMING GARDEN(Phase 2),Block 2,HOI TING RD|富榮花園2期,2座,海庭道",海庭道,1998/05,0.15323416197176998,-1.7839732533610455,0.9216103262491624,53,-0.0001597780475315206,11049.874560356257,11165.321400044697,"{'B': {'unit_factor': 1130.857897914387, 'unitFactor_p': 0.14059426798480468}, 'C': {'unit_factor': 130.95193558087956, 'unitFactor_p': 0.8957320585710757}, 'D': {'unit_factor': -620.5601440190279, 'unitFactor_p': 0.4188945381131608}, 'E': {'unit_factor': -252.490970832344, 'unitFactor_p': 0.7551789822497743}, 'F': {'unit_factor': 2379.351304144744, 'unitFactor_p': 0.050291683830359535}, 'G': {'unit_factor': -238.4348506203359, 'unitFactor_p': 0.7331506974602164}, 'J': {'unit_factor': -147.99292386597952, 'unitFactor_p': 0.836604038864639}, 'K': {'unit_factor': 391.01080571066575, 'unitFactor_p': 0.5715327395414529}}"
3,"AQUAMARINE(Block 1),SHAM SHING RD|碧海藍天1座,深盛路",深盛路,2003/12,0.5091793284290627,69.8628211563332,0.0,610,0.003952989300372588,15645.427048798834,17673.41519233262,"{'B': {'unit_factor': -833.1527551838004, 'unitFactor_p': 1.6093083499146843e-06}, 'C': {'unit_factor': -791.1435294254616, 'unitFactor_p': 3.2722970926268857e-06}, 'D': {'unit_factor': -740.6744243994812, 'unitFactor_p': 3.421182007357082e-05}, 'E': {'unit_factor': 1311.6139893616414, 'unitFactor_p': 1.2227108214801774e-11}, 'F': {'unit_factor': 1264.2443967811519, 'unitFactor_p': 1.8667067891442457e-11}, 'G': {'unit_factor': 584.0737648546977, 'unitFactor_p': 0.0008546180781163759}, 'H': {'unit_factor': 1405.149174095922, 'unitFactor_p': 3.2862601528904634e-14}}"
4,"PARK AVENUE(Block 8),HOI TING RD|柏景灣8座,海庭道",海庭道,2001/02,0.49242173558058633,97.71846375980667,0.0,659,0.004452927106834634,21841.671050809702,21944.770577946852,"{'B': {'unit_factor': 161.30710065261852, 'unitFactor_p': 0.5883328558169021}, 'C': {'unit_factor': -2030.8316931340212, 'unitFactor_p': 3.200306686323984e-11}, 'D': {'unit_factor': -1392.4157914796162, 'unitFactor_p': 1.4464410460934829e-05}, 'E': {'unit_factor': -3484.2818645823686, 'unitFactor_p': 0.0}, 'F': {'unit_factor': -4057.8604898622725, 'unitFactor_p': 0.0}, 'G': {'unit_factor': -3345.6937513558464, 'unitFactor_p': 0.0}, 'H': {'unit_factor': -3449.3881994195444, 'unitFactor_p': 0.0}}"
5,"THE WATERFRONT(Phase 1),Block 2,AUSTIN RD W|漾日居1期,2座,柯士甸道西",柯士甸道西,2000/09,0.11033479681522929,66.87907388672518,0.0,322,0.0027254977084155544,23740.92653413146,24538.297603487907,"{'B': {'unit_factor': -1678.3132252005691, 'unitFactor_p': 0.000441156256096642}, 'C': {'unit_factor': -1164.5942220603322, 'unitFactor_p': 0.024873679032206164}, 'D': {'unit_factor': -1644.3729261860317, 'unitFactor_p': 0.0035721240073487426}, 'E': {'unit_factor': -1258.782641427433, 'unitFactor_p': 0.022454305798423446}, 'F': {'unit_factor': -238.67011365747138, 'unitFactor_p': 0.6473536410593115}, 'G': {'unit_factor': -733.1535933353603, 'unitFactor_p': 0.16219436053322522}}"
6,"HARBOUR GREEN(Block 3),SHAM MONG RD|君匯港3座,深旺道",深旺道,2006/09,0.4970064703252658,59.11444047740379,0.0,611,0.0026832435195934803,19117.001681943897,22030.96366235138,"{'A-H': {'unit_factor': 2301.2408702344114, 'unitFactor_p': 0.14726019624634556}, 'B': {'unit_factor': 523.922759795885, 'unitFactor_p': 0.01886582946220372}, 'C': {'unit_factor': 2689.212374869649, 'unitFactor_p': 0.0}, 'D': {'unit_factor': 1177.4476451756618, 'unitFactor_p': 1.4832704309242217e-07}, 'E': {'unit_factor': 1596.1564965070468, 'unitFactor_p': 3.4473091048425886e-11}, 'F': {'unit_factor': 3609.330078337847, 'unitFactor_p': 0.0}, 'G': {'unit_factor': -13.439837497889352, 'unitFactor_p': 0.9513522885275878}, 'H': {'unit_factor': -561.3008139701432, 'unitFactor_p': 0.008923969276866783}}"
7,"BANYAN GARDEN(Phase 1),Block 2,LAI CHI KOK RD|泓景臺1期,2座,荔枝角道",荔枝角道,2003/06,0.3650712504339304,13.550007277368115,0.0,951,0.0007893371954760963,17371.639060835343,17166.31036143596,"{'B': {'unit_factor': 691.4293932175675, 'unitFactor_p': 1.3675762677856085e-07}, 'C': {'unit_factor': -1391.3302263063933, 'unitFactor_p': 0.0}, 'D': {'unit_factor': -840.7892125938253, 'unitFactor_p': 4.500821937369892e-11}, 'E': {'unit_factor': -1228.981237560796, 'unitFactor_p': 0.0}, 'F': {'unit_factor': -1877.966185256051, 'unitFactor_p': 0.0}, 'G': {'unit_factor': -7.387227905835381, 'unitFactor_p': 0.9547441225939606}, 'H': {'unit_factor': -419.928708794277, 'unitFactor_p': 0.0005070931917328103}}"
8,"BANYAN GARDEN(Phase 1),Block 1,LAI CHI KOK RD|泓景臺1期,1座,荔枝角道",荔枝角道,2003/06,0.45476216559566707,18.18438479343903,0.0,698,0.0010577920076751239,17409.09519319812,17190.888815094866,"{'B': {'unit_factor': 714.4722246667288, 'unitFactor_p': 0.0001587484836291786}, 'C': {'unit_factor': -1197.5489269338402, 'unitFactor_p': 5.46007683510652e-13}, 'D': {'unit_factor': -1844.005792395566, 'unitFactor_p': 0.0}, 'E': {'unit_factor': -2020.7648357451142, 'unitFactor_p': 0.0}, 'F': {'unit_factor': -1782.4505761869311, 'unitFactor_p': 0.0}, 'G': {'unit_factor': 1308.3384560648233, 'unitFactor_p': 1.9451107391432743e-12}, 'H': {'unit_factor': -359.66039284256243, 'unitFactor_p': 0.04004765362456508}}"
9,"IMPERIAL CULLINAN(Block 6A),HOI FAI RD|瓏璽6A座,海輝道",海輝道,2011/12,0.020490430576284746,55.7310604628898,0.006618255723018107,109,0.0016405980781960235,32616.335235219798,33969.96571163293,"{'B': {'unit_factor': 670.655918565127, 'unitFactor_p': 0.5227861778138769}, 'C': {'unit_factor': -332.56504214749907, 'unitFactor_p': 0.7530013351228946}}"
