,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3/F低層1,3,低層,1,5437040.0,10640,511.0,202,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
8/F中層1,8,中層,1,5607203.0,10973,511.0,217,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
12/F高層1,12,高層,1,4250004.0,11708,363.0,209,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
3/F低層2,3,低層,2,3808288.0,11168,341.0,118,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
8/F中層2,8,中層,2,3935481.0,11541,341.0,128,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
12/F高層2,12,高層,2,4022095.0,11795,341.0,130,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
3/F低層3,3,低層,3,5477340.0,10615,516.0,134,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
8/F中層3,8,中層,3,5648652.0,10947,516.0,144,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
12/F高層3,12,高層,3,5768880.0,11180,516.0,146,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
3/F低層4,3,低層,4,5403258.0,8113,666.0,110,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
8/F中層4,8,中層,4,4157802.0,11454,363.0,137,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
12/F高層4,12,高層,4,4250004.0,11708,363.0,139,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
3/F低層5,3,低層,5,5377456.0,10108,532.0,221,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
8/F中層5,8,中層,5,5160236.0,9281,556.0,238,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
12/F高層5,12,高層,5,4861108.0,8743,556.0,244,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
3/F低層6,3,低層,6,5423208.0,10194,532.0,230,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
8/F中層6,8,中層,6,5601960.0,10530,532.0,239,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
12/F高層6,12,高層,6,5198172.0,9771,532.0,236,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
3/F低層7,3,低層,7,4490812.0,8077,556.0,276,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
8/F中層7,8,中層,7,4540296.0,8166,556.0,180,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
12/F高層7,12,高層,7,4664840.0,8390,556.0,178,2,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
3/F低層8,3,低層,8,4950068.0,8903,556.0,257,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
8/F中層8,8,中層,8,5112976.0,9196,556.0,277,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
12/F高層8,12,高層,8,5239744.0,9424,556.0,290,3,HNP,"TUNG FAT BLDG(Block C),KAM PING ST|東發大廈C座,錦屏街"
