,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
1/F低層A,1,低層,A,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
2/F中層A,2,中層,A,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
2/F高層A,2,高層,A,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
1/F低層B,1,低層,B,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
2/F中層B,2,中層,B,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
2/F高層B,2,高層,B,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
1/F低層C,1,低層,C,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
2/F中層C,2,中層,C,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
2/F高層C,2,高層,C,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
1/F低層D,1,低層,D,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
2/F中層D,2,中層,D,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
2/F高層D,2,高層,D,,,,,,KSKM,"MOON VILLA,OSMANTHUS RD|月中閣,丹桂路"
