,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層1,7.0,低層,1,2580894.0,6774.0,381,350,5,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
18.0/F中層1,18.0,中層,1,2764155.0,7255.0,381,336,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
29.0/F高層1,29.0,高層,1,2903982.0,7622.0,381,345,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
7.0/F低層10,7.0,低層,10,2823495.9999999995,6388.0,442,302,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
18.0/F中層10,18.0,中層,10,2967588.0,6714.0,442,340,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
29.0/F高層10,29.0,高層,10,3057756.0,6918.0,442,331,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
7.0/F低層11,7.0,低層,11,2791786.0,6302.0,443,351,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
18.0/F中層11,18.0,中層,11,2927344.0,6608.0,443,322,3,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
29.0/F高層11,29.0,高層,11,3101886.0,7002.0,443,328,3,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
7.0/F低層12,7.0,低層,12,3621735.0,6795.0,533,353,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
18.0/F中層12,18.0,中層,12,3517321.0,6649.0,529,382,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
29.0/F高層12,29.0,高層,12,3628940.0,6860.0,529,368,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
7.0/F低層13,7.0,低層,13,2841325.0,6385.0,445,303,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
18.0/F中層13,18.0,中層,13,3010545.0,6705.0,449,341,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
29.0/F高層13,29.0,高層,13,3101243.0,6907.0,449,332,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
7.0/F低層14,7.0,低層,14,2833871.0,6397.0,443,339,4,KSPK,"CHU FUNG HSE(FUNG TAK EST),FUNG TAK RD|硃鳳樓(鳳德村),鳳德道"
