,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5/F低層A,5,低層,A,5510106.0,9153,602.0,333,5,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層A,14,中層,A,5750304.0,9552,602.0,340,5,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層A,22,高層,A,5948964.0,9882,602.0,320,5,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層B,5,低層,B,5304534.0,9006,589.0,332,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層B,14,中層,B,5501260.0,9340,589.0,328,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層B,22,高層,B,5700931.0,9679,589.0,312,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層C,5,低層,C,5415020.0,9178,590.0,338,5,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層C,14,中層,C,5650430.0,9577,590.0,345,5,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層C,22,高層,C,5845720.0,9908,590.0,325,5,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層D,5,低層,D,5213265.0,10749,485.0,297,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層D,14,中層,D,5463525.0,11265,485.0,344,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層D,22,高層,D,5594475.0,11535,485.0,300,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層E,5,低層,E,4183717.0,9707,431.0,362,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層E,14,中層,E,4441886.0,10306,431.0,321,3,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層E,22,高層,E,4635405.0,10755,431.0,324,3,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層F,5,低層,F,4256817.0,9741,437.0,356,5,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層F,14,中層,F,4545530.0,10571,430.0,309,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層F,22,高層,F,4625510.0,10757,430.0,309,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層G,5,低層,G,4580825.0,9445,485.0,304,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層G,14,中層,G,4865520.0,10032,485.0,303,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層G,22,高層,G,5050790.0,10414,485.0,360,5,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層H,5,低層,H,4637688.0,9582,484.0,359,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層H,14,中層,H,4931476.0,10189,484.0,371,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層H,22,高層,H,5072320.0,10480,484.0,346,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層J,5,低層,J,4607208.0,9441,488.0,346,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層J,14,中層,J,4740432.0,9714,488.0,346,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層J,22,高層,J,5037136.0,10322,488.0,337,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
5/F低層K,5,低層,K,4508092.0,10316,437.0,341,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
14/F中層K,14,中層,K,4957765.0,11345,437.0,355,3,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
22/F高層K,22,高層,K,4963009.0,11357,437.0,379,4,NMOS,"CHEVALIER GARDEN(Phase 2),Block 15,HANG SHUN ST|富安花園2期,15座,恆信街"
