,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層1,8.0,低層,1,6650560,14845,448,356,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
15.0/F中層1,15.0,中層,1,7211904,16098,448,364,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
22.0/F高層1,22.0,高層,1,7633472,17039,448,351,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
8.0/F低層2,8.0,低層,2,7126368,15628,456,328,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
15.0/F中層2,15.0,中層,2,7570968,16603,456,331,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
22.0/F高層2,22.0,高層,2,7697736,16881,456,323,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
8.0/F低層3,8.0,低層,3,6980904,15309,456,320,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
15.0/F中層3,15.0,中層,3,7319712,16052,456,335,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
22.0/F高層3,22.0,高層,3,7736496,16966,456,406,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
8.0/F低層4,8.0,低層,4,6904128,15411,448,397,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
15.0/F中層4,15.0,中層,4,7120512,15894,448,407,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
22.0/F高層4,22.0,高層,4,7430080,16585,448,397,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
8.0/F低層5,8.0,低層,5,6654592,14854,448,366,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
15.0/F中層5,15.0,中層,5,7051520,15740,448,340,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
22.0/F高層5,22.0,高層,5,7452032,16634,448,383,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
8.0/F低層6,8.0,低層,6,6855328,14524,472,438,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
15.0/F中層6,15.0,中層,6,7299952,15466,472,371,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
22.0/F高層6,22.0,高層,6,7591648,16084,472,339,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
8.0/F低層7,8.0,低層,7,6728280,14755,456,404,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
15.0/F中層7,15.0,中層,7,7270008,15943,456,408,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
22.0/F高層7,22.0,高層,7,7577352,16617,456,389,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
8.0/F低層8,8.0,低層,8,6642048,14826,448,400,4,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
15.0/F中層8,15.0,中層,8,7275968,16241,448,328,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
22.0/F高層8,22.0,高層,8,7259392,16204,448,321,3,HNP,"HEALTHY GDN(Block D),KING'S RD|健威花園D座,英皇道"
