,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6/F低層1,6,低層,1,5340310.0,13835,386.0,375,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
16/F中層1,16,中層,1,5529064.0,14324,386.0,365,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
27/F高層1,27,高層,1,6036030.0,15015,402.0,352,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
6/F低層2,6,低層,2,5634650.0,13258,425.0,388,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
16/F中層2,16,中層,2,5489216.0,13792,398.0,396,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
27/F高層2,27,高層,2,6150175.0,14471,425.0,365,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
6/F低層3,6,低層,3,5460958.0,13721,398.0,414,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
16/F中層3,16,中層,3,5644436.0,14182,398.0,405,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
27/F高層3,27,高層,3,5870898.0,14751,398.0,396,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
6/F低層4,6,低層,4,5413604.0,13334,406.0,323,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
16/F中層4,16,中層,4,5692000.0,14230,400.0,330,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
27/F高層4,27,高層,4,5390876.0,13966,386.0,324,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
6/F低層5,6,低層,5,5680752.0,13992,406.0,379,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
16/F中層5,16,中層,5,5745116.0,14807,388.0,335,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
27/F高層5,27,高層,5,5458040.0,14140,386.0,369,4,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
6/F低層6,6,低層,6,5546926.0,13937,398.0,424,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
16/F中層6,16,中層,6,5765030.0,14485,398.0,402,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
27/F高層6,27,高層,6,5823536.0,14632,398.0,391,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
6/F低層7,6,低層,7,5706475.0,13427,425.0,321,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
16/F中層7,16,中層,7,5544538.0,13931,398.0,342,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
27/F高層7,27,高層,7,6249625.0,14705,425.0,321,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
6/F低層8,6,低層,8,5498956.0,14246,386.0,335,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
16/F中層8,16,中層,8,6000900.0,14460,415.0,321,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
27/F高層8,27,高層,8,5927416.0,15356,386.0,321,3,NKC,"NEW KWAI FONG GARDEN(Block C),KWAI YI RD|新葵芳花園C座,葵義路"
