,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
9/F低層A,9,低層,A,6936818.0,14854,467.0,331,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
16/F中層A,16,中層,A,7227292.0,15476,467.0,368,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
23/F高層A,23,高層,A,7579410.0,16230,467.0,344,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
9/F低層B,9,低層,B,6026100.0,15900,379.0,356,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
16/F中層B,16,中層,B,6187175.0,16325,379.0,383,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
23/F高層B,23,高層,B,6333848.0,16712,379.0,390,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
9/F低層C,9,低層,C,6506293.0,17167,379.0,367,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
16/F中層C,16,中層,C,6511978.0,17182,379.0,353,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
23/F高層C,23,高層,C,6681391.0,17629,379.0,330,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
9/F低層D,9,低層,D,7811042.0,16726,467.0,326,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
16/F中層D,16,中層,D,7989436.0,17108,467.0,333,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
23/F高層D,23,高層,D,8186043.0,17529,467.0,323,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
9/F低層E,9,低層,E,6994726.0,14978,467.0,378,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
16/F中層E,16,中層,E,7132958.0,15274,467.0,324,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
23/F高層E,23,高層,E,7432772.0,15916,467.0,364,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
9/F低層F,9,低層,F,6379496.0,16442,388.0,338,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
16/F中層F,16,中層,F,6241368.0,16086,388.0,332,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
23/F高層F,23,高層,F,6507924.0,16773,388.0,336,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
9/F低層G,9,低層,G,6105568.0,15736,388.0,321,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
16/F中層G,16,中層,G,6272796.0,16167,388.0,335,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
23/F高層G,23,高層,G,6513744.0,16788,388.0,387,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
9/F低層H,9,低層,H,7231028.0,15484,467.0,385,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
16/F中層H,16,中層,H,7456589.0,15967,467.0,397,4,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
23/F高層H,23,高層,H,7601359.0,16277,467.0,350,3,NST,"SCENERY COURT(Block 1),SHA TIN CTR ST|蔚景園1座,沙田正街"
