,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
12.0/F低層A,12.0,低層,A,8384418.0,15498.0,541,325,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
31.0/F中層A,31.0,中層,A,9180540.0,17001.0,540,327,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
50.0/F高層A,50.0,高層,A,10135800.0,18770.0,540,353,4,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
12.0/F低層B,12.0,低層,B,9898497.0,15687.0,631,324,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
31.0/F中層B,31.0,中層,B,10282846.0,16219.0,634,332,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
50.0/F高層B,50.0,高層,B,11527388.0,18182.0,634,331,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
12.0/F低層C,12.0,低層,C,7149451.0,14561.0,491,321,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
31.0/F中層C,31.0,中層,C,7975240.0,16276.0,490,328,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
50.0/F高層C,50.0,高層,C,8505910.0,17359.0,490,330,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
12.0/F低層D,12.0,低層,D,7105869.0,14897.0,477,321,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
31.0/F中層D,31.0,中層,D,7853804.999999999,16465.0,477,326,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
50.0/F高層D,50.0,高層,D,8461026.0,17738.0,477,329,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
12.0/F低層E,12.0,低層,E,7316709.356318531,13462.0,504,441,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
31.0/F中層E,31.0,中層,E,7598790.187987624,13981.0,504,447,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
50.0/F高層E,50.0,高層,E,8307525.071410544,15285.0,504,445,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
12.0/F低層F,12.0,低層,F,5514411.0,16077.0,343,323,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
31.0/F中層F,31.0,中層,F,5996326.0,17482.0,343,332,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
50.0/F高層F,50.0,高層,F,6331094.0,18458.0,343,331,3,NTKO,"WINGS AT SEA II(LOHAS PARK),Block 5A,Phase IV,1 LOHAS PARK RD|晉海II(日出康城),第IV期,第5A座,1 康城路"
