,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,8975805.75,16139.875,8,71806446,129119,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",8898224.0,16004.0,556.0,9284535.0,15871.0,585.0,9377872.0,15841.0,592.0,8400500.0,16801.0,500.0,8309000.0,16618.0,500.0,9064112.0,15311.0,592.0,9289728.0,16128.0,576.0,9182475.0,16545.0,555.0,-0.03684142499905574,-0.036842262304375706
2019-11-15,9319136.0,16757.25,8,74553088,134058,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",9237940.0,16615.0,556.0,9640800.0,16480.0,585.0,9734848.0,16444.0,592.0,8722000.0,17444.0,500.0,8627000.0,17254.0,500.0,9412208.0,15899.0,592.0,9643392.0,16742.0,576.0,9534900.0,17180.0,555.0,0.09140451120651805,0.09155308026772202
2019-10-15,8538663.625,15351.75,8,68309309,122814,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",8473996.0,15241.0,556.0,8846955.0,15123.0,585.0,8928544.0,15082.0,592.0,8001500.0,16003.0,500.0,7830500.0,15661.0,500.0,8632544.0,14582.0,592.0,8847360.0,15360.0,576.0,8747910.0,15762.0,555.0,-0.04991662798467378,-0.04991993316159582
2019-9-15,8987278.25,16158.375,8,71898226,129267,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",8918796.0,16041.0,556.0,9313785.0,15921.0,585.0,9395632.0,15871.0,592.0,8422000.0,16844.0,500.0,8243000.0,16486.0,500.0,9084240.0,15345.0,592.0,9312768.0,16168.0,576.0,9208005.0,16591.0,555.0,-0.008679138664033803,-0.008703854235364461
2019-8-15,9065963.0,16300.25,8,72527704,130402,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",8996080.0,16180.0,556.0,9398025.0,16065.0,585.0,9417536.0,15908.0,592.0,8496000.0,16992.0,500.0,8316500.0,16633.0,500.0,9161792.0,15476.0,592.0,9452736.0,16411.0,576.0,9289035.0,16737.0,555.0,-0.07198739633772344,-0.07199738113707044
2019-7-15,9769224.0,17564.875,8,78153792,140519,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",9705536.0,17456.0,556.0,10142145.0,17337.0,585.0,10160496.0,17163.0,592.0,9167000.0,18334.0,500.0,8967500.0,17935.0,500.0,9883440.0,16695.0,592.0,10154880.0,17630.0,576.0,9972795.0,17969.0,555.0,0.0420655379553323,0.04206248563186432
2019-6-15,9374865.25,16855.875,8,74998922,134847,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",9313000.0,16750.0,556.0,9734985.0,16641.0,585.0,9750240.0,16470.0,592.0,8797000.0,17594.0,500.0,8607000.0,17214.0,500.0,9482064.0,16017.0,592.0,9744768.0,16918.0,576.0,9569865.0,17243.0,555.0,-0.028808202985110998,-0.02880868870051212
2019-5-15,9652949.375,17355.875,8,77223595,138847,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",9593780.0,17255.0,556.0,10032750.0,17150.0,585.0,10045056.0,16968.0,592.0,9063500.0,18127.0,500.0,8869000.0,17738.0,500.0,9767408.0,16499.0,592.0,10040256.0,17431.0,576.0,9811845.0,17679.0,555.0,0.029339803894170347,0.029373169737183513
2019-4-15,9377806.375,16860.625,8,75022451,134885,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",9309664.0,16744.0,556.0,9738495.0,16647.0,585.0,9747872.0,16466.0,592.0,8796000.0,17592.0,500.0,8609000.0,17218.0,500.0,9476736.0,16008.0,592.0,9823104.0,17054.0,576.0,9521580.0,17156.0,555.0,0.04018724034210708,0.04026560957551828
2019-3-15,9015498.375,16208.0,8,72123987,129664,4456,"TUNG TING MANS,TAIKOO SHING,TAIKOO SHING RD|洞庭閣(太古城),太古城道",8955492.0,16107.0,556.0,9371115.0,16019.0,585.0,9377872.0,15841.0,592.0,8462000.0,16924.0,500.0,8233500.0,16467.0,500.0,9114432.0,15396.0,592.0,9449856.0,16406.0,576.0,9159720.0,16504.0,555.0,0.026172423974387904,0.02630183392564578
