,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7550930.216183198,13879.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7703414.780489403,14930.0,489.0,7398445.651876993,12828.0,465.0,,0.008717911043927495,0.010373821570268893
2020-11-15,7485670.804009715,13736.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7635962.535492236,14314.0,489.0,7335379.072527195,13159.0,465.0,,0.03421124186451818,-0.05190323359906135
2020-10-15,7238048.186861943,14488.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7415394.441305258,14479.0,489.0,7060701.9324186295,14498.0,465.0,,-0.042428665176201474,-0.036764950304158495
2020-9-15,7558756.119400553,15041.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7743640.222008422,15031.0,489.0,7373872.016792685,15052.0,465.0,,-0.004994164590998995,0.025673371974088033
2020-8-15,7596695.265906151,14665.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7782630.132526899,14655.0,489.0,7410760.399285404,14675.0,465.0,,-0.028816368361399447,0.07565922176990503
2020-7-15,7822099.774363839,13633.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8013434.9719191985,13624.0,489.0,7630764.57680848,13643.0,465.0,,0.05442692815378303,-0.10649801749844345
2020-6-15,7418342.196608833,15258.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7599865.43432439,15248.0,489.0,7236818.958893276,15269.0,465.0,,-0.02238350075477069,0.09168634184732061
2020-5-15,7588192.509369654,13977.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7773664.715780724,13967.0,489.0,7402720.302958583,13987.0,465.0,,-0.005634514731516105,-0.004345348340219379
2020-4-15,7631190.565027307,14038.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7817737.449666756,14028.0,489.0,7444643.680387857,14048.0,465.0,,0.026947005541382074,0.013976669435515898
2020-3-15,7430948.747938871,13844.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7612794.928407629,13835.0,489.0,7249102.567470114,13854.0,465.0,,0.015539151390821626,0.11653695713536827
2020-2-15,7317244.970577342,12399.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7496313.63753142,12391.0,489.0,7138176.303623266,12408.0,465.0,,-0.038792670429236065,-0.05484411921640364
2020-1-15,7612556.360598005,13119.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7798848.001521031,13110.0,489.0,7426264.71967498,13128.0,465.0,,0.016360941014813335,0.07802292616787865
2019-12-15,7490012.704538843,12169.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7673212.385900471,12161.0,489.0,7306813.023177214,12178.0,465.0,,-0.07039431133869578,-0.048291233283803914
2019-11-15,8057193.276565436,12787.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8254222.477892773,12778.0,489.0,7860164.0752381,12796.0,465.0,,-0.03987071296908273,-0.05662326164742337
2019-10-15,8391779.508654844,13554.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8597015.495134726,13545.0,489.0,8186543.52217496,13564.0,465.0,,0.03712299894986271,0.05392271207526633
2019-9-15,8091402.3863629745,12861.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8289300.88007584,12852.0,489.0,7893503.892650109,12870.0,465.0,,-0.0025153499411413316,0.05969595847237663
2019-8-15,8111806.418159442,12136.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8310199.2766265655,12128.0,489.0,7913413.559692318,12145.0,465.0,,-0.0465750690284058,-0.0687154696132597
2019-7-15,8508070.383572884,13032.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8716237.767516913,13023.0,489.0,8299902.999628855,13041.0,465.0,,0.07713797396984923,-0.0018000076596070835
2019-6-15,7898774.891591594,13055.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8147964.877441379,13139.0,489.0,7649584.905741808,12972.0,465.0,,-0.019734381374626464,0.02484496428291072
2019-5-15,8057790.400389688,12739.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8313592.1338114105,12823.0,489.0,7801988.666967966,12655.0,465.0,,0.05277995756756404,-0.20609497694129375
2019-4-15,7653822.0,16046.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7841604.000000001,16036.0,489.0,7466040.0,16056.0,465.0,,0.022918983373437785,0.022917795556688825
2019-3-15,7482334.5,15686.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7665564.0,15676.0,489.0,7299105.0,15697.0,465.0,,0.002972389332132286,0.002973145780051256
2019-2-15,7460160.0,15640.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7643070.0,15630.0,489.0,7277250.0,15650.0,465.0,,0.04664469882322342,0.04664391353811159
2019-1-15,7127691.0,14943.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7302237.0,14933.0,489.0,6953145.0,14953.0,465.0,,0.05132442309058094,0.05132444506982803
2018-12-15,6779725.5,14213.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6945756.0,14204.0,489.0,6613695.0,14223.0,465.0,,-0.14151615524979377,-0.14151541690574698
2018-11-15,7897324.5,16556.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8090994.000000001,16546.0,489.0,7703655.0,16567.0,465.0,,-0.06684481789599228,-0.06684514583626888
2018-10-15,8463034.5,17742.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8670459.0,17731.0,489.0,8255610.0,17754.0,465.0,,0.053968299632140004,0.05396815967684443
2018-9-15,8029686.000000001,16834.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8226447.000000001,16823.0,489.0,7832925.000000001,16845.0,465.0,,-0.06277346448014709,-0.0627731536898366
2018-8-15,8567497.5,17961.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8777550.0,17950.0,489.0,8357445.0,17973.0,465.0,,0.041065251570894024,0.041065321972990176
2018-7-15,8229549.0,17253.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8431338.0,17242.0,489.0,8027760.0,17264.0,465.0,,0.09804380714385363,0.09804295942720764
2018-6-15,7494736.5,15712.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7678277.999999999,15702.0,489.0,7311195.0,15723.0,465.0,,-0.01132628547107073,-0.011326097215667796
2018-5-15,7580596.5,15892.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7766298.0,15882.0,489.0,7394895.0,15903.0,465.0,,-0.03996003863160236,-0.03996013048205871
2018-4-15,7896126.0,16554.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",8089526.999999999,16543.0,489.0,7702725.000000001,16565.0,465.0,,0.06282328119242675,0.06282302333793455
2018-3-15,7429387.5,15575.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7611285.0,15565.0,489.0,7247490.0,15586.0,465.0,,0.01521908812964834,0.015219658453917262
2018-2-15,7318014.0,15342.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7497348.0,15332.0,489.0,7138680.0,15352.0,465.0,,0.007751047684518175,0.007750919600630679
2018-1-15,7261728.0,15224.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7439646.0,15214.0,489.0,7083810.0,15234.0,465.0,,0.014738496543068136,0.09690899920743568
2017-12-15,7156255.552281389,13879.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7300770.0,14930.0,489.0,7011741.104562777,12828.0,465.0,,0.04291528755125218,0.010373821570268893
2017-11-15,6861780.278515389,13736.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6999546.0,14314.0,489.0,6724014.557030777,13159.0,465.0,,-0.0070725154724256,-0.0518705135284373
2017-10-15,6910656.0,14488.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7079742.0,14478.0,489.0,6741570.0,14498.0,465.0,,-0.036766787414817315,-0.03676617246193736
2017-9-15,7174437.0,15041.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7350159.0,15031.0,489.0,6998715.0,15051.0,465.0,,0.025639717029885878,0.025639277190589782
2017-8-15,6995085.0,14665.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7166295.0,14655.0,489.0,6823875.0,14675.0,465.0,,0.07565962544895166,0.07565922176990503
2017-7-15,6503065.5,13633.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6662136.0,13624.0,489.0,6343995.0,13643.0,465.0,,-0.10649821243048652,-0.10649801749844345
2017-6-15,7278178.5,15258.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",7456272.0,15248.0,489.0,7100085.0,15269.0,465.0,,0.09168709217419946,0.09168634184732061
2017-5-15,6666909.0,13977.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6829863.0,13967.0,489.0,6503955.0,13987.0,465.0,,-0.0043454262137757604,-0.004345348340219379
2017-4-15,6696006.0,14038.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6859692.0,14028.0,489.0,6532320.0,14048.0,465.0,,0.013976002135162702,0.013976669435515898
2017-3-15,6603712.5,13844.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6765315.0,13835.0,489.0,6442110.0,13854.0,465.0,,0.11653693799069886,0.11653695713536827
2017-2-15,5914459.5,12399.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6059198.999999999,12391.0,489.0,5769720.0,12408.0,465.0,,-0.0548441069378226,-0.05484411921640364
2017-1-15,6257655.0,13119.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6410790.0,13110.0,489.0,6104520.0,13128.0,465.0,,0.07802326353617839,0.07802292616787865
2016-12-15,5804749.5,12169.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",5946729.0,12161.0,489.0,5662770.0,12178.0,465.0,,-0.04829110465462294,-0.048291233283803914
2016-11-15,6099291.0,12787.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6248442.0,12778.0,489.0,5950140.0,12796.0,465.0,,-0.056623332030239504,-0.05662326164742337
2016-10-15,6465382.5,13554.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6623505.0,13545.0,489.0,6307260.0,13564.0,465.0,,0.053922683328907706,0.05392271207526633
2016-9-15,6134589.0,12861.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6284628.0,12852.0,489.0,5984550.0,12870.0,465.0,,0.05969597384422576,0.05969595847237663
2016-8-15,5789008.5,12136.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",5930592.0,12128.0,489.0,5647425.0,12145.0,465.0,,-0.06871569825467705,-0.0687154696132597
2016-7-15,6216156.0,13032.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6368247.0,13023.0,489.0,6064065.0,13041.0,465.0,,-0.0019779318390190648,-0.0018000076596070835
2016-6-15,6228475.5,13055.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6424971.0,13139.0,489.0,6031980.0,12972.0,465.0,,0.024839856316179354,0.02484496428291072
2016-5-15,6077511.0,12739.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6270447.0,12823.0,489.0,5884575.0,12655.0,465.0,,0.003610514285261379,0.0034659314690823617
2016-4-15,6055647.0,12695.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6213234.0,12706.0,489.0,5898060.0,12684.0,465.0,,0.0789922344913665,0.07900216735370358
2016-3-15,5612317.5,11765.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",5760420.0,11780.0,489.0,5464215.0,11751.0,465.0,,-0.1569943170181457,-0.1569877834700677
2016-2-15,6657508.5,13956.5,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6835242.0,13978.0,489.0,6479775.0,13935.0,465.0,,0.04761912629856613,0.04762798378621835
2016-1-15,6354894.0,13322.0,"WING ON BLDG,HOLLYWOOD RD|永安樓,荷李活道",6526683.0,13347.0,489.0,6183105.0,13297.0,465.0,477.0,,
