,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,1212224.0,4888.0,99 YU CHAU ST|99 汝州街,1212224.0,4888.0,248.0,,,116.0,,,137.0,,-0.022204440888177635,-0.022204440888177635
2020-11-15,1239752.0,4999.0,99 YU CHAU ST|99 汝州街,1239752.0,4999.0,248.0,,,116.0,,,137.0,,0.00847286665321767,0.00847286665321767
2020-10-15,1229336.0,4957.0,99 YU CHAU ST|99 汝州街,1229336.0,4957.0,248.0,,,116.0,,,137.0,,-0.011565304087736816,-0.011565304087736816
2020-9-15,1243720.0,5015.0,99 YU CHAU ST|99 汝州街,1243720.0,5015.0,248.0,,,116.0,,,137.0,,-0.00594648166501488,-0.00594648166501488
2020-8-15,1251160.0,5045.0,99 YU CHAU ST|99 汝州街,1251160.0,5045.0,248.0,,,116.0,,,137.0,,-0.008646099430143495,-0.008646099430143495
2020-7-15,1262072.0,5089.0,99 YU CHAU ST|99 汝州街,1262072.0,5089.0,248.0,,,116.0,,,137.0,,-0.01604795050270691,-0.01604795050270691
2020-6-15,1282656.0,5172.0,99 YU CHAU ST|99 汝州街,1282656.0,5172.0,248.0,,,116.0,,,137.0,,0.03068951773614992,0.03068951773614992
2020-5-15,1244464.0,5018.0,99 YU CHAU ST|99 汝州街,1244464.0,5018.0,248.0,,,116.0,,,137.0,,-0.02582022908173165,-0.02582022908173165
2020-4-15,1277448.0,5151.0,99 YU CHAU ST|99 汝州街,1277448.0,5151.0,248.0,,,116.0,,,137.0,,0.055965559655596575,0.055965559655596575
2020-3-15,1209744.0,4878.0,99 YU CHAU ST|99 汝州街,1209744.0,4878.0,248.0,,,116.0,,,137.0,,-0.021464393179538632,-0.021464393179538632
2020-2-15,1236280.0,4985.0,99 YU CHAU ST|99 汝州街,1236280.0,4985.0,248.0,,,116.0,,,137.0,,-0.07082945013979491,-0.07082945013979491
2020-1-15,1330520.0,5365.0,99 YU CHAU ST|99 汝州街,1330520.0,5365.0,248.0,,,116.0,,,137.0,,0.07321464292858582,0.07321464292858582
2019-12-15,1239752.0,4999.0,99 YU CHAU ST|99 汝州街,1239752.0,4999.0,248.0,,,116.0,,,137.0,,-0.00039992001599675753,-0.00039992001599675753
2019-11-15,1240248.0,5001.0,99 YU CHAU ST|99 汝州街,1240248.0,5001.0,248.0,,,116.0,,,137.0,,0.060432569974554706,0.060432569974554706
2019-10-15,1169568.0,4716.0,99 YU CHAU ST|99 汝州街,1169568.0,4716.0,248.0,,,116.0,,,137.0,,-0.04541005225895445,-0.2956638621994325
2019-9-15,1225204.6051476672,6695.666666666667,99 YU CHAU ST|99 汝州街,1282408.0,5171.0,248.0,1122020.53667129,7613.0,116.0,1271185.2787717117,7303.0,137.0,,-0.0016306673785114745,0.027730877462266657
2019-8-15,1227205.7695628144,6515.0,99 YU CHAU ST|99 汝州街,1284640.0,5180.0,248.0,1123826.2836272689,7332.0,116.0,1273151.0250611745,7033.0,137.0,,0.00944546376565003,0.03676002546148949
2019-7-15,1215722.7048054961,6284.0,99 YU CHAU ST|99 汝州街,1272488.0,5131.0,248.0,1113320.8605609501,7003.0,116.0,1261359.2538555388,6718.0,137.0,,-0.08200230699113797,0.1767790262172284
2019-6-15,1324320.0,5340.0,99 YU CHAU ST|99 汝州街,1324320.0,5340.0,248.0,,,116.0,,,137.0,,0.01270623933244841,0.01270623933244841
2019-5-15,1307704.0,5273.0,99 YU CHAU ST|99 汝州街,1307704.0,5273.0,248.0,,,116.0,,,137.0,,0.017168209876543106,0.017168209876543106
2019-4-15,1285632.0,5184.0,99 YU CHAU ST|99 汝州街,1285632.0,5184.0,248.0,,,116.0,,,137.0,,-0.011630123927550029,-0.011630123927550029
2019-3-15,1300760.0,5245.0,99 YU CHAU ST|99 汝州街,1300760.0,5245.0,248.0,,,116.0,,,137.0,,0.04983987189751793,0.04983987189751793
2019-2-15,1239008.0,4996.0,99 YU CHAU ST|99 汝州街,1239008.0,4996.0,248.0,,,116.0,,,137.0,,0.01277113318467471,0.01277113318467471
2019-1-15,1223384.0,4933.0,99 YU CHAU ST|99 汝州街,1223384.0,4933.0,248.0,,,116.0,,,137.0,,0.005093724531377353,0.005093724531377353
2018-12-15,1217184.0,4908.0,99 YU CHAU ST|99 汝州街,1217184.0,4908.0,248.0,,,116.0,,,137.0,,-0.010683329973795619,-0.010683329973795619
2018-11-15,1230328.0,4961.0,99 YU CHAU ST|99 汝州街,1230328.0,4961.0,248.0,,,116.0,,,137.0,,-0.007601520304060805,-0.007601520304060805
2018-10-15,1239752.0,4999.0,99 YU CHAU ST|99 汝州街,1239752.0,4999.0,248.0,,,116.0,,,137.0,,-0.04581026913533115,-0.04581026913533115
2018-9-15,1299272.0,5239.0,99 YU CHAU ST|99 汝州街,1299272.0,5239.0,248.0,,,116.0,,,137.0,,-0.046067006554989076,-0.046067006554989076
2018-8-15,1362016.0,5492.0,99 YU CHAU ST|99 汝州街,1362016.0,5492.0,248.0,,,116.0,,,137.0,,-0.0009095870474804535,-0.0009095870474804535
2018-7-15,1363256.0,5497.0,99 YU CHAU ST|99 汝州街,1363256.0,5497.0,248.0,,,116.0,,,137.0,,0.06696428571428581,0.06696428571428581
2018-6-15,1277696.0,5152.0,99 YU CHAU ST|99 汝州街,1277696.0,5152.0,248.0,,,116.0,,,137.0,,0.03495379670550425,0.03495379670550425
2018-5-15,1234544.0,4978.0,99 YU CHAU ST|99 汝州街,1234544.0,4978.0,248.0,,,116.0,,,137.0,,-0.005990415335463295,-0.005990415335463295
2018-4-15,1241984.0,5008.0,99 YU CHAU ST|99 汝州街,1241984.0,5008.0,248.0,,,116.0,,,137.0,,0.0272820512820513,0.0272820512820513
2018-3-15,1209000.0,4875.0,99 YU CHAU ST|99 汝州街,1209000.0,4875.0,248.0,,,116.0,,,137.0,,0.01204068922565904,0.01204068922565904
2018-2-15,1194616.0,4817.0,99 YU CHAU ST|99 汝州街,1194616.0,4817.0,248.0,,,116.0,,,137.0,,0.0016635475150759138,0.0016635475150759138
2018-1-15,1192632.0,4809.0,99 YU CHAU ST|99 汝州街,1192632.0,4809.0,248.0,,,116.0,,,137.0,,0.08018867924528306,0.08018867924528306
2017-12-15,1104096.0,4452.0,99 YU CHAU ST|99 汝州街,1104096.0,4452.0,248.0,,,116.0,,,137.0,,0.0033806626098715764,0.0033806626098715764
2017-11-15,1100376.0,4437.0,99 YU CHAU ST|99 汝州街,1100376.0,4437.0,248.0,,,116.0,,,137.0,,-0.02268722466960349,-0.02268722466960349
2017-10-15,1125920.0,4540.0,99 YU CHAU ST|99 汝州街,1125920.0,4540.0,248.0,,,116.0,,,137.0,,0.048741048741048676,0.048741048741048676
2017-9-15,1073592.0,4329.0,99 YU CHAU ST|99 汝州街,1073592.0,4329.0,248.0,,,116.0,,,137.0,,0.009326183259501075,0.009326183259501075
2017-8-15,1063672.0,4289.0,99 YU CHAU ST|99 汝州街,1063672.0,4289.0,248.0,,,116.0,,,137.0,,-0.020552637588490574,-0.020552637588490574
2017-7-15,1085992.0,4379.0,99 YU CHAU ST|99 汝州街,1085992.0,4379.0,248.0,,,116.0,,,137.0,,-0.035462555066079315,-0.035462555066079315
2017-6-15,1125920.0,4540.0,99 YU CHAU ST|99 汝州街,1125920.0,4540.0,248.0,,,116.0,,,137.0,,0.02045403461452011,0.02045403461452011
2017-5-15,1103352.0,4449.0,99 YU CHAU ST|99 汝州街,1103352.0,4449.0,248.0,,,116.0,,,137.0,,0.017612076852699055,0.017612076852699055
2017-4-15,1084256.0,4372.0,99 YU CHAU ST|99 汝州街,1084256.0,4372.0,248.0,,,116.0,,,137.0,,0.04844124700239805,0.04844124700239805
2017-3-15,1034160.0,4170.0,99 YU CHAU ST|99 汝州街,1034160.0,4170.0,248.0,,,116.0,,,137.0,,0.05064247921390774,0.05064247921390774
2017-2-15,984312.0,3969.0,99 YU CHAU ST|99 汝州街,984312.0,3969.0,248.0,,,116.0,,,137.0,,-0.0328947368421052,-0.03289473684210531
2017-1-15,1017791.9999999999,4104.0,99 YU CHAU ST|99 汝州街,1017791.9999999999,4104.0,248.0,,,116.0,,,137.0,,0.05015353121801436,0.05015353121801436
2016-12-15,969183.9999999999,3908.0,99 YU CHAU ST|99 汝州街,969183.9999999999,3908.0,248.0,,,116.0,,,137.0,,-0.0063564708873634634,-0.006356470887363352
2016-11-15,975384.0,3933.0,99 YU CHAU ST|99 汝州街,975384.0,3933.0,248.0,,,116.0,,,137.0,,-0.021154803384768495,-0.021154803384768495
2016-10-15,996464.0,4018.0,99 YU CHAU ST|99 汝州街,996464.0,4018.0,248.0,,,116.0,,,137.0,,0.05803137471006603,-0.4612496647894878
2016-9-15,941809.5,7458.0,99 YU CHAU ST|99 汝州街,,,248.0,883108.0,7613.0,116.0,1000511.0,7303.0,137.0,,0.03835983138123722,0.03835711799512698
2016-8-15,907016.5,7182.5,99 YU CHAU ST|99 汝州街,,,248.0,850512.0,7332.0,116.0,963521.0,7033.0,137.0,,0.046931576705676825,0.046935354565993626
2016-7-15,866357.0,6860.5,99 YU CHAU ST|99 汝州街,,,248.0,812348.0,7003.0,116.0,920366.0,6718.0,137.0,,,
2016-6-15,,,99 YU CHAU ST|99 汝州街,,,248.0,,,116.0,,,137.0,,,
2016-5-15,,,99 YU CHAU ST|99 汝州街,,,248.0,,,116.0,,,137.0,,,
2016-4-15,,,99 YU CHAU ST|99 汝州街,,,248.0,,,116.0,,,137.0,,,
2016-3-15,,,99 YU CHAU ST|99 汝州街,,,248.0,,,116.0,,,137.0,,,
2016-2-15,,,99 YU CHAU ST|99 汝州街,,,248.0,,,116.0,,,137.0,,,
2016-1-15,,,99 YU CHAU ST|99 汝州街,,,248.0,,,116.0,,,137.0,167.0,,
