,lumpSum_avg,npsf_avg,final_address,lumpSum_D2,npsf_D2,nfa_D2,lumpSum_E2,npsf_E2,nfa_E2,lumpSum_E3,npsf_E3,nfa_E3,lumpSum_E5,npsf_E5,nfa_E5,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,2518958.121742479,8982.8,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1527008.6279449617,8720.0,177.0,3837472.8838047264,9369.0,414.0,1372948.392674181,9842.0,141.0,1274782.7042885264,8590.0,150.0,4582578.0,8393.0,546.0,,0.037778964568208506,0.07270121805588725
2020-11-15,2427258.7976289815,8374.0,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1471380.805860116,8066.0,177.0,3697537.8482909207,8666.0,414.0,1323099.9868789031,9105.0,141.0,1228227.347114969,7945.0,150.0,4416048.0,8088.0,546.0,,0.002368476828189081,-0.0033799866704750103
2020-10-15,2421523.4753886075,8402.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1467954.1136199236,8105.0,177.0,3688968.5800845195,8708.0,414.0,1319870.9289632218,9148.0,141.0,1225149.754275372,7982.0,150.0,4405674.0,8069.0,546.0,,-0.020081011938974602,0.03129832830105306
2020-9-15,2471146.599761372,8147.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1498003.0210170618,7761.0,177.0,3764297.777708962,8338.0,414.0,1346929.7897858364,8760.0,141.0,1250192.4102949998,7643.0,150.0,4496310.0,8235.0,546.0,,0.017232912184492077,0.019954932398597913
2020-8-15,2429282.9795042933,7988.0,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1472551.632025548,7604.0,177.0,3700646.098493042,8170.0,414.0,1324077.4278273212,8583.0,141.0,1228723.7391755541,7487.0,150.0,4420416.0,8096.0,546.0,,-0.0501002462418868,-0.02151011808515857
2020-7-15,2557409.842347319,8163.6,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1550067.2726012927,7711.0,177.0,3895936.30069932,8286.0,414.0,1393973.3323421525,8705.0,141.0,1293514.3060938276,7593.0,150.0,4653558.0,8523.0,546.0,,0.031381927252884134,-0.0025414202629391314
2020-6-15,2479595.361108425,8184.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1502939.7945998143,7798.0,177.0,3777266.42288843,8379.0,414.0,1351712.1985382345,8804.0,141.0,1253914.3895156488,7677.0,150.0,4512144.0,8264.0,546.0,,-0.008315212416659001,0.00661697783681392
2020-5-15,2500386.6068683043,8130.6,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1515459.9641864232,7717.0,177.0,3808748.84456871,8292.0,414.0,1363042.9085552837,8713.0,141.0,1264317.3170311044,7597.0,150.0,4550364.0,8334.0,546.0,,0.0179094083364848,-0.02121153753551297
2020-4-15,2456394.0429183706,8306.8,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1468812.2199513412,7754.0,177.0,3856824.0,9316.0,414.0,1321120.6382854944,8755.0,141.0,1225171.3563550182,7632.0,150.0,4410042.0,8077.0,546.0,,-0.05134323190431456,-0.03463183339531428
2020-3-15,2589339.079769901,8604.8,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1565239.5455200118,7498.0,177.0,3936726.0,9509.0,414.0,1405488.0,9968.0,141.0,1305421.8533294944,7379.0,150.0,4733820.0,8670.0,546.0,,0.10913318596939692,0.04371452137208287
2020-2-15,2334561.0,8244.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1415999.9999999998,8000.0,177.0,3545910.0,8565.0,414.0,1266039.0,8979.0,141.0,1180050.0,7867.0,150.0,4264806.0,7811.0,546.0,,-0.05987586578156767,-0.05986726571943346
2020-1-15,2483247.6,8769.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1506093.0,8509.0,177.0,3771540.0,9110.0,414.0,1346691.0,9551.0,141.0,1255200.0,8368.0,150.0,4536714.0,8309.0,546.0,,-0.0570844099079878,-0.05705376344086022
2019-12-15,2633584.2,9300.0,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1597071.0,9023.0,177.0,3999654.0,9661.0,414.0,1428048.0,10128.0,141.0,1331250.0,8875.0,150.0,4811897.999999999,8813.0,546.0,,0.02424865683232702,0.022944760982906987
2019-11-15,2571235.2,9091.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1563264.0,8832.0,177.0,3915198.0,9457.0,414.0,1397874.0,9914.0,141.0,1303350.0,8689.0,150.0,4676490.0,8565.0,546.0,,0.02302441856467885,0.02302291038394033
2019-10-15,2513366.4,8886.8,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1528041.0,8633.0,177.0,3826602.0,9243.0,414.0,1366431.0,9691.0,141.0,1274100.0,8494.0,150.0,4571658.0,8373.0,546.0,,0.027813914367160963,0.02785102937774675
2019-9-15,2445351.6,8646.0,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1486446.0,8398.0,177.0,3723102.0,8993.0,414.0,1329348.0,9428.0,141.0,1239600.0,8264.0,150.0,4448262.0,8147.0,546.0,,-0.07075263913905927,-0.07074224543754437
2019-8-15,2631540.0,9304.2,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1599549.0,9037.0,177.0,4006278.0,9677.0,414.0,1430445.0,10145.0,141.0,1334100.0,8894.0,150.0,4787328.0,8768.0,546.0,,0.017653417766926083,0.017653235332721007
2019-7-15,2585890.2,9142.8,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1571760.0,8880.0,177.0,3936725.9999999995,9509.0,414.0,1405629.0,9969.0,141.0,1311000.0,8740.0,150.0,4704336.0,8616.0,546.0,,-0.031279971750834634,-0.03127781309599498
2019-6-15,2669388.6,9438.0,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1622382.0,9166.0,177.0,4063410.0000000005,9815.0,414.0,1451031.0,10291.0,141.0,1353450.0000000002,9023.0,150.0,4856670.0,8895.0,546.0,,0.008087163997833935,0.00809638760120479
2019-5-15,2647974.0,9362.2,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1609284.0,9092.0,177.0,4030704.0,9736.0,414.0,1439328.0,10208.0,141.0,1342650.0,8951.0,150.0,4817904.0,8824.0,546.0,,-0.0027831210498356906,-0.002769433970303159
2019-4-15,2655364.2,9388.2,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1613709.0,9117.0,177.0,4041882.0,9763.0,414.0,1443276.0,10236.0,141.0,1346400.0,8976.0,150.0,4831554.0,8849.0,546.0,,0.06812134897411659,0.06812751723667154
2019-3-15,2486013.6,8789.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1510695.0,8535.0,177.0,3783960.0,9140.0,414.0,1351203.0,9583.0,141.0,1260600.0,8404.0,150.0,4523610.0,8285.0,546.0,,0.017649032370886664,0.01766858095590962
2019-2-15,2442898.8,8636.8,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1484322.0000000002,8386.0,177.0,3718133.9999999995,8981.0,414.0,1327656.0,9416.0,141.0,1238850.0,8259.0,150.0,4445532.0,8142.0,546.0,,-0.07956442114034612,-0.07956604215955843
2019-1-15,2654068.2,9383.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1612647.0,9111.0,177.0,4039398.0,9757.0,414.0,1442430.0,10230.0,141.0,1345950.0,8973.0,150.0,4829916.0,8846.0,546.0,,0.14725707995908355,0.14725516566817465
2018-12-15,2313403.2,8179.0,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1405557.0,7941.0,177.0,3520656.0,8504.0,414.0,1257297.0,8917.0,141.0,1173300.0,7822.0,150.0,4210206.0,7711.0,546.0,,-0.1391763878501021,-0.13916136909022025
2018-11-15,2687430.0,9501.2,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1632648.0,9224.0,177.0,4089906.0,9879.0,414.0,1460478.0,10358.0,141.0,1363049.9999999998,9087.0,150.0,4891068.0,8958.0,546.0,,0.09586470442444006,0.09587081891580174
2018-10-15,2452337.4,8670.0,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1489809.0,8417.0,177.0,3731796.0,9014.0,414.0,1332732.0,9452.0,141.0,1243800.0,8292.0,150.0,4463550.0,8175.0,546.0,,-0.07266079483060617,-0.0726479270953665
2018-9-15,2644488.0,9349.2,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1606452.0,9076.0,177.0,4024080.0,9720.0,414.0,1437072.0,10192.0,141.0,1341300.0,8942.0,150.0,4813536.0,8816.0,546.0,,-0.018073544007548015,-0.018085575650639507
2018-8-15,2693163.0,9521.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1636011.0,9243.0,177.0,4098186.0,9899.0,414.0,1463580.0,10380.0,141.0,1366050.0,9107.0,150.0,4901988.0,8978.0,546.0,,0.018132242270110677,0.01817909617811231
2018-7-15,2645199.6,9351.4,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1606275.0000000002,9075.0,177.0,4025322.0,9723.0,414.0,1437777.0,10197.0,141.0,1341450.0,8943.0,150.0,4815174.0,8819.0,546.0,,0.026147922666948542,0.026250521279164163
2018-6-15,2577795.6,9112.2,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1564326.0,8838.0,177.0,3923064.0,9476.0,414.0,1401822.0,9942.0,141.0,1306350.0,8709.0,150.0,4693416.0,8596.0,546.0,,-0.03245140554145276,-0.032346444652111006
2018-5-15,2664254.4,9416.8,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1615656.0,9128.0,177.0,4055130.0,9795.0,414.0,1449480.0,10280.0,141.0,1349250.0,8995.0,150.0,4851756.0,8886.0,546.0,,0.028856674023988393,0.028911081488603774
2018-4-15,2589529.2,9152.2,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1569459.0,8867.0,177.0,3942108.0000000005,9522.0,414.0,1409576.9999999998,9997.0,141.0,1310700.0,8738.0,150.0,4715802.0,8637.0,546.0,,0.03674192779697383,0.0367475475203336
2018-3-15,2497756.8,8827.8,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1513350.0,8550.0,177.0,3802590.0,9185.0,414.0,1360368.0,9648.0,141.0,1263750.0,8425.0,150.0,4548726.0,8331.0,546.0,,-0.010975675235191495,-0.011001568451714183
2018-2-15,2525475.6,8926.0,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1530165.0000000002,8645.0,177.0,3844818.0,9287.0,414.0,1375737.0,9757.0,141.0,1277700.0,8518.0,150.0,4598958.0,8423.0,546.0,,0.054304446657023275,0.05431008008315419
2018-1-15,2395395.0,8466.2,"EIVER HSE,KAI MING ST|愛華大廈,啟明街",1451400.0,8200.0,177.0,3646926.0,8809.0,414.0,1304955.0,9255.0,141.0,1211700.0,8078.0,150.0,4361994.0,7989.0,546.0,,-0.05964834841809086,-0.059645459392216105
