,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,2528581.499894983,8282.75,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2690594.0368633484,8901.0,230.0,2680492.6287326887,8716.0,234.0,2528013.4106854494,8549.0,225.0,2215225.9232984474,6965.0,242.0,,0.037775007388197945,0.03745107249099733
2020-11-15,2436541.140317829,7983.75,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2592747.475066202,8580.0,230.0,2583114.342154889,8402.0,234.0,2435578.418258259,8239.0,225.0,2134724.3257919652,6714.0,242.0,,-0.019019672636966578,-0.08983384159375263
2020-10-15,2483781.858161701,8771.75,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2586863.840094258,8556.0,230.0,2756467.225645228,11512.0,234.0,2462304.2718440946,8325.0,225.0,2129492.0950632216,6694.0,242.0,,-0.02006458501906272,0.03345998645106185
2020-9-15,2534638.3243124424,8487.75,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2640446.2076076907,8323.0,230.0,2812790.614201699,11023.0,234.0,2512285.3441126775,8095.0,225.0,2173031.131327703,6510.0,242.0,,0.017437653167132527,-0.006728884467979257
2020-8-15,2491197.68314303,8545.25,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2596289.8992775683,8492.0,230.0,2762949.523890053,10792.0,234.0,2469563.3138735937,8257.0,225.0,2135987.9955309033,6640.0,242.0,,-0.049900945422505116,0.024886809990704917
2020-7-15,2622039.955876869,8337.75,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2733836.5259859306,8140.0,230.0,2906303.308869969,10936.0,234.0,2599495.6647581207,7912.0,225.0,2248524.323893457,6363.0,242.0,,0.031528069337063425,0.004941694036821653
2020-6-15,2541898.794438029,8296.75,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2651007.196959902,8039.0,230.0,2816059.458039083,11052.0,234.0,2520146.5410993253,7812.0,225.0,2180381.981653806,6284.0,242.0,,-0.0080595733091674,0.0015995654010985128
2020-5-15,2562551.8690854674,8283.5,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2673937.8890686017,8067.0,230.0,2837130.056496619,10928.0,234.0,2540904.6476071873,7836.0,225.0,2198234.883169463,6303.0,242.0,,0.032000160920793386,-0.000814209462923321
2020-4-15,2483092.5092095453,8290.25,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2591927.6391122937,8062.0,230.0,2747697.194733559,10972.0,234.0,2462300.5050463704,7829.0,225.0,2130444.6979459585,6298.0,242.0,,-0.06603864088973399,0.023045597581291988
2020-3-15,2658667.2831679587,8103.5,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2705864.445510915,7716.0,230.0,2925942.3611382176,10602.0,234.0,2624056.369224549,7649.0,225.0,2378805.956798153,6447.0,242.0,,0.11011019916714582,-0.03521147721522755
2020-2-15,2394957.982696321,8399.25,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2437569.572032649,8155.0,230.0,2633847.054254437,10539.0,234.0,2363525.626538255,8083.0,225.0,2144889.6779599423,6820.0,242.0,,-0.059849757801359815,0.04657030714597221
2020-1-15,2547420.4815343767,8025.5,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2592752.7602463304,7807.0,230.0,2799410.2720480612,10022.0,234.0,2513971.4042731295,7738.0,225.0,2283547.489569987,6535.0,242.0,,-0.057051041727011254,-0.0028267014568384985
2019-12-15,2701546.525063221,8048.25,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2749834.2773479265,7890.0,230.0,2966582.381668078,9874.0,234.0,2665848.1833257694,7819.0,225.0,2423921.25791111,6610.0,242.0,,0.02159554333483449,0.0011195074167367203
2019-11-15,2644438.440133026,8039.25,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2691551.7934420677,7761.0,230.0,2901783.632021632,10196.0,234.0,2609291.2106556543,7691.0,225.0,2375127.124412749,6509.0,242.0,,-0.07176514262089262,-0.19909840352668673
2019-10-15,2848889.393789476,10037.75,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2821430.8324007643,10058.0,230.0,2834539.4712461755,9932.0,234.0,2792202.275466425,10175.0,225.0,2947384.99604454,9986.0,242.0,,0.09068147596433307,0.07303971350686833
2019-9-15,2612026.9359765295,9354.5,"TSUN KIT HSE,CHATHAM RD N|俊傑樓,漆咸道北",2797356.1255960935,10109.0,230.0,2787728.697726386,9902.0,234.0,2715158.441009941,10030.0,225.0,2147864.4795736973,7377.0,242.0,,-0.06996184161712538,0.019230769230769162
