,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,4061307.0,14830.666666666666,6,24367842.0,88984.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3855480.0,13528.0,285.0,4277790.0,14751.0,290.0,4054428.0,16089.0,252.0,4028817.0,16311.0,247.0,4093497.0,14067.0,291.0,4057830.0,14238.0,285.0,0.03155613673626023,0.031543071768892705
2019-11-15,3937068.3333333335,14377.166666666666,6,23622410.0,86263.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3737205.0,13113.0,285.0,4147580.0,14302.0,290.0,3931452.0,15601.0,252.0,3906552.0,15816.0,247.0,3966621.0,13631.0,291.0,3933000.0,13800.0,285.0,-0.006369397280665878,-0.006381238697490188
2019-10-15,3962305.8333333335,14469.5,6,23773835.0,86817.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3760575.0,13195.0,285.0,4174840.0,14396.0,290.0,3957408.0,15704.0,252.0,3932734.0,15922.0,247.0,3990483.0,13713.0,291.0,3957795.0,13887.0,285.0,-0.07976991688376511,-0.07978249809208848
2019-9-15,4305777.333333333,15724.0,6,25834664.0,94344.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",4086330.0,14338.0,285.0,4537340.0,15646.0,290.0,4301640.0,17070.0,252.0,4274829.0,17307.0,247.0,4334445.0,14895.0,291.0,4300080.0,15088.0,285.0,0.07560021125087868,0.07558656542855191
2019-8-15,4003139.1666666665,14619.0,6,24018835.0,87714.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3798765.0,13329.0,285.0,4219210.0,14549.0,290.0,4000248.0,15874.0,252.0,3975465.0,16095.0,247.0,4028022.0,13842.0,291.0,3997125.0,14025.0,285.0,0.07004840043171101,0.07004830917874405
2019-7-15,3741082.3333333335,13662.0,6,22446494.0,81972.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3550245.0,12457.0,285.0,3944000.0,13600.0,290.0,3738168.0,14834.0,252.0,3715374.0,15042.0,247.0,3763212.0,12932.0,291.0,3735495.0,13107.0,285.0,-0.04152767714737304,-0.04152099435239642
2019-6-15,3903172.0,14253.833333333334,6,23419032.0,85523.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3704430.0,12998.0,285.0,4116260.0,14194.0,290.0,3899700.0,15475.0,252.0,3875677.0,15691.0,247.0,3925590.0,13490.0,291.0,3897375.0,13675.0,285.0,-0.09462635827123544,-0.09462106054350472
2019-5-15,4311117.333333333,15743.5,6,25866704.0,94461.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",4092030.0,14358.0,285.0,4548070.0,15683.0,290.0,4306680.0,17090.0,252.0,4280263.0,17329.0,247.0,4334736.0,14896.0,291.0,4304925.0,15105.0,285.0,0.03931940534836742,0.03973539091479461
2019-4-15,4148019.6666666665,15141.833333333334,6,24888118.0,90851.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3955515.0,13879.0,285.0,4397270.0,15163.0,290.0,4048632.0,16066.0,252.0,4136756.0,16748.0,247.0,4188945.0000000005,14395.0,291.0,4160999.9999999995,14600.0,285.0,0.05625933607149691,0.056271872202392714
2019-3-15,3927084.5,14335.166666666666,6,23562507.0,86011.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3745755.0,13143.0,285.0,4164690.0,14361.0,290.0,3831156.0,15203.0,252.0,3916185.0,15855.0,247.0,3965166.0,13626.0,291.0,3939555.0,13823.0,285.0,0.022772408866285065,0.022783756465901472
2019-2-15,3839646.5,14015.833333333334,6,23037879.0,84095.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3662820.0,12852.0,285.0,4073340.0,14046.0,290.0,3744216.0,14858.0,252.0,3828747.0,15501.0,247.0,3876411.0,13321.0,291.0,3852345.0,13517.0,285.0,-0.022187562710541897,-0.02216253299380233
2019-1-15,3926772.0,14333.5,6,23560632.0,86001.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3745755.0,13143.0,285.0,4172230.0,14387.0,290.0,3826368.0,15184.0,252.0,3914456.0,15848.0,247.0,3962838.0,13618.0,291.0,3938985.0,13821.0,285.0,0.03846625293388595,0.03814536280344272
2018-12-15,3781318.8333333335,13806.833333333334,6,22687913.0,82841.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3604964.9999999995,12649.0,285.0,4042890.0,13941.0,290.0,3706164.0,14707.0,252.0,3792932.0,15356.0,247.0,3753027.0,12897.0,291.0,3787935.0,13291.0,285.0,-0.07002297242259936,-0.06857431976613448
2018-11-15,4066034.6666666665,14823.333333333334,6,24396208.0,88940.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3929865.0,13789.0,285.0,4405680.0,15192.0,290.0,3645936.0,14468.0,252.0,4132803.9999999995,16732.0,247.0,4151988.0,14268.0,291.0,4129935.0000000005,14491.0,285.0,0.07454047885794868,0.07415458937198083
2018-10-15,3783975.3333333335,13800.0,6,22703852.0,82800.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3661965.0,12849.0,285.0,4104080.0,14152.0,290.0,3397464.0,13482.0,252.0,3889509.0,15747.0,247.0,3801624.0,13064.0,291.0,3849210.0,13506.0,285.0,-0.08620241577553989,-0.0861935768678953
2018-9-15,4140933.8333333335,15101.666666666666,6,24845603.0,90610.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",4007954.9999999995,14063.0,285.0,4490360.0,15484.0,290.0,3718764.0,14757.0,252.0,4254081.0,17223.0,247.0,4160718.0,14298.0,291.0,4213725.0,14785.0,285.0,-0.0684533157214231,-0.06835427419852347
2018-8-15,4445224.166666667,16209.666666666666,6,26671345.0,97258.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",4359075.0,15295.0,285.0,4807330.0,16577.0,290.0,3982608.0,15804.0,252.0,4552704.0,18432.0,247.0,4456083.0,15313.0,291.0,4513545.0,15837.0,285.0,0.07405685489164537,0.07406875683316572
2018-7-15,4138723.3333333335,15091.833333333334,6,24832340.0,90551.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",4059540.0,14244.0,285.0,4474700.0,15430.0,290.0,3708684.0,14717.0,252.0,4236297.0,17151.0,247.0,4149369.0,14259.0,291.0,4203750.0,14750.0,285.0,-0.0035449670460475646,-0.003532441236024253
2018-6-15,4153447.1666666665,15145.333333333334,6,24920683.0,90872.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",4074929.9999999995,14298.0,285.0,4489780.0,15482.0,290.0,3722292.0,14771.0,252.0,4248894.0,17202.0,247.0,4164791.9999999995,14312.0,291.0,4219995.0,14807.0,285.0,0.04636842848670897,0.0463820183317214
2018-5-15,3969392.6666666665,14474.0,6,23816356.0,86844.0,1650,"DOUBLE MANS,PAU CHUNG ST|德寶大廈,炮仗街",3895380.0,13668.0,285.0,4289970.0,14793.0,290.0,3557988.0,14119.0,252.0,4057963.0,16429.0,247.0,3980880.0,13680.0,291.0,4034175.0,14155.0,285.0,0.07913699510965588,0.07974636329727725
