,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6485410.25,11852.5,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7236073.0,11843.0,611.0,6305896.0,11656.0,541.0,7236073.0,11843.0,611.0,5288800.0,12020.0,440.0,7236073.0,11843.0,611.0,5056534.0,11842.0,427.0,7410208.0,12128.0,611.0,6113625.0,11645.0,525.0,,0.02802066785255386,0.02801509172123673
2020-11-15,6308638.0,11529.5,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7038720.0,11520.0,611.0,6133317.0,11337.0,541.0,7038720.0,11520.0,611.0,5144480.0,11692.0,440.0,7038720.0,11520.0,611.0,4919894.0,11522.0,427.0,7208578.0,11798.0,611.0,5946675.0,11327.0,525.0,,-0.01378956533708342,-0.013792955969463061
2020-10-15,6396847.75,11690.75,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7137091.0,11681.0,611.0,6217172.0,11492.0,541.0,7137091.0,11681.0,611.0,5215760.0,11854.0,440.0,7137091.0,11681.0,611.0,4990776.0,11688.0,427.0,7311226.0,11966.0,611.0,6028575.0,11483.0,525.0,,-0.012807552749818707,-0.01281401731053411
2020-9-15,6479838.625,11842.5,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7229352.0,11832.0,611.0,6296158.0,11638.0,541.0,7229352.0,11832.0,611.0,5283080.0,12007.0,440.0,7229352.0,11832.0,611.0,5057815.0,11845.0,427.0,7408375.0,12125.0,611.0,6105225.0,11629.0,525.0,,0.01614473476119338,0.016142006757119187
2020-8-15,6376885.5,11654.375,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7114484.0,11644.0,611.0,6194450.0,11450.0,541.0,7114484.0,11644.0,611.0,5198600.0,11815.0,440.0,7114484.0,11644.0,611.0,4979247.0,11661.0,427.0,7292285.0,11935.0,611.0,6007050.0,11442.0,525.0,,-0.023561088570548283,-0.02356391056186835
2020-7-15,6530757.25,11935.625,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7286175.0,11925.0,611.0,6342143.0,11723.0,541.0,7286175.0,11925.0,611.0,5323560.0,12099.0,440.0,7286175.0,11925.0,611.0,5101369.0,11947.0,427.0,7470086.0,12226.0,611.0,6150375.0,11715.0,525.0,,0.001606256721333077,0.001604917551294438
2020-6-15,6520284.0,11916.5,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7274566.0,11906.0,611.0,6330241.0,11701.0,541.0,7274566.0,11906.0,611.0,5314320.0,12078.0,440.0,7274566.0,11906.0,611.0,5094964.0,11932.0,427.0,7459699.0,12209.0,611.0,6139350.0,11694.0,525.0,,-0.0032811183157346324,-0.003282939171528332
2020-5-15,6541748.25,11955.75,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7298395.0,11945.0,611.0,6349176.0,11736.0,541.0,7298395.0,11945.0,611.0,5331040.0,12116.0,440.0,7298395.0,11945.0,611.0,5113752.0,11976.0,427.0,7486583.0,12253.0,611.0,6158250.0,11730.0,525.0,,0.009245512121170307,0.009754861594983177
2020-4-15,6481820.5,11840.25,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7280065.0,11915.0,611.0,6259370.0,11570.0,541.0,7280065.0,11915.0,611.0,5256240.0,11946.0,440.0,7280065.0,11915.0,611.0,5043724.0,11812.0,427.0,7383935.0,12085.0,611.0,6071100.0,11564.0,525.0,,-0.021102770273192517,-0.020839794082987084
2020-3-15,6621553.625,12092.25,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7419373.0,12143.0,611.0,6376767.0,11787.0,541.0,7419373.0,12143.0,611.0,5355240.0,12171.0,440.0,7419373.0,12143.0,611.0,5140226.0,12038.0,427.0,7657051.999999999,12532.0,611.0,6185025.0,11781.0,525.0,,0.05728583838044243,0.05730367779660095
2020-2-15,6262784.75,11436.875,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7017946.0,11486.0,611.0,6029445.0,11145.0,541.0,7017946.0,11486.0,611.0,5063960.0,11509.0,440.0,7017946.0,11486.0,611.0,4861822.0,11386.0,427.0,7245238.0,11858.0,611.0,5847975.0,11139.0,525.0,,-0.037590911829048834,-0.03757350079417676
2020-1-15,6507404.0,11883.375,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7292285.0,11935.0,611.0,6263157.0,11577.0,541.0,7292285.0,11935.0,611.0,5260200.0,11955.0,440.0,7292285.0,11935.0,611.0,5051837.0,11831.0,427.0,7532408.0,12328.0,611.0,6074775.0,11571.0,525.0,,-0.03585994597920994,-0.035841421486597524
2019-12-15,6749438.5,12325.125,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7564179.999999999,12380.0,611.0,6493623.0,12003.0,541.0,7564179.999999999,12380.0,611.0,5454680.0,12397.0,440.0,7564179.999999999,12380.0,611.0,5239717.0,12271.0,427.0,7816523.0,12793.0,611.0,6298425.0,11997.0,525.0,,0.011464385277555555,0.011479042284729513
2019-11-15,6672937.375,12185.25,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7478640.0,12240.0,611.0,6418424.0,11864.0,541.0,7478640.0,12240.0,611.0,5391320.0,12253.0,440.0,7478640.0,12240.0,611.0,5180791.0,12133.0,427.0,7731593.999999999,12654.0,611.0,6225450.0,11858.0,525.0,,0.022565593340710954,0.022316840405226746
2019-10-15,6525681.5,11919.25,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7332611.0,12001.0,611.0,6290748.0,11628.0,541.0,7332611.0,12001.0,611.0,5284400.0,12010.0,440.0,7332611.0,12001.0,611.0,5079165.0,11895.0,427.0,7451756.0,12196.0,611.0,6101550.0,11622.0,525.0,,-0.03541912879322229,-0.03563987944739988
2019-9-15,6765302.625,12359.75,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7594730.000000001,12430.0,611.0,6513099.0,12039.0,541.0,7594730.000000001,12430.0,611.0,5525960.0,12559.0,440.0,7594730.000000001,12430.0,611.0,5260640.0,12320.0,427.0,7721207.0,12637.0,611.0,6317325.0,12033.0,525.0,,0.006121338717291813,0.006125605437746762
2019-8-15,6724141.875,12284.5,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7548905.0,12355.0,611.0,6470901.0,11961.0,541.0,7548905.0,12355.0,611.0,5493400.0,12485.0,440.0,7548905.0,12355.0,611.0,5228615.0,12245.0,427.0,7676604.000000001,12564.0,611.0,6276900.0,11956.0,525.0,,-0.016604054009586644,-0.016974583137447152
2019-7-15,6837675.0,12496.625,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7625280.000000001,12480.0,611.0,6693252.0,12372.0,541.0,7625280.000000001,12480.0,611.0,5595480.0,12717.0,440.0,7625280.000000001,12480.0,611.0,5325117.0,12471.0,427.0,7821411.0,12801.0,611.0,6390300.0,12172.0,525.0,,-0.01615043944575323,-0.01613966716857096
2019-6-15,6949919.25,12701.625,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7751146.0,12686.0,611.0,6802534.0,12574.0,541.0,7751146.0,12686.0,611.0,5687880.0,12927.0,440.0,7751146.0,12686.0,611.0,5411798.0,12674.0,427.0,7951554.000000001,13014.0,611.0,6492150.0,12366.0,525.0,,0.019550997726594854,0.019514789099811303
2019-5-15,6816647.0,12458.5,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7624058.0,12478.0,611.0,6660792.0,12312.0,541.0,7624058.0,12478.0,611.0,5570400.0,12660.0,440.0,7624058.0,12478.0,611.0,5298643.0,12409.0,427.0,7696766.999999999,12597.0,611.0,6434400.0,12256.0,525.0,,0.010136190214182328,0.010134998175700405
2019-4-15,6748245.5,12333.5,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7547072.0,12352.0,611.0,6593167.0,12187.0,541.0,7547072.0,12352.0,611.0,5514960.0,12534.0,440.0,7547072.0,12352.0,611.0,5245268.0,12284.0,427.0,7621003.0,12473.0,611.0,6370350.0,12134.0,525.0,,0.034590325836186375,0.0346244992974436
2019-3-15,6522625.75,11920.75,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7297173.0,11943.0,611.0,6370816.0,11776.0,541.0,7297173.0,11943.0,611.0,5329280.0,12112.0,440.0,7297173.0,11943.0,611.0,5067636.0,11868.0,427.0,7365605.0,12055.0,611.0,6156150.0,11726.0,525.0,,-0.02132291446817891,-0.02112415831827885
2019-2-15,6664737.375,12178.0,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7443813.0,12183.0,611.0,6496328.0,12008.0,541.0,7443813.0,12183.0,611.0,5435320.0,12353.0,440.0,7443813.0,12183.0,611.0,5167554.0,12102.0,427.0,7608783.0,12453.0,611.0,6278475.0,11959.0,525.0,,0.06903362148988212,0.0685033670402948
2019-1-15,6234357.125,11397.25,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",6942793.0,11363.0,611.0,6058659.0,11199.0,541.0,6942793.0,11363.0,611.0,5069240.0,11521.0,440.0,6942793.0,11363.0,611.0,4896836.0,11468.0,427.0,7095543.0,11613.0,611.0,5926200.0,11288.0,525.0,,-0.00878657819048767,-0.008783945382993097
2018-12-15,6289621.375,11498.25,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7004504.0,11464.0,611.0,6111677.0,11297.0,541.0,7004504.0,11464.0,611.0,5113240.0,11621.0,440.0,7004504.0,11464.0,611.0,4939963.0,11569.0,427.0,7157254.0,11714.0,611.0,5981325.0,11393.0,525.0,,-0.019364163207193363,-0.019359928359736434
2018-11-15,6413819.625,11725.25,"FUNG KING BLDG,YUET WAH ST|豐景樓,月華街",7143201.0,11691.0,611.0,6231779.0,11519.0,541.0,7143201.0,11691.0,611.0,5213560.0,11849.0,440.0,7143201.0,11691.0,611.0,5036892.0,11796.0,427.0,7297173.0,11943.0,611.0,6101550.0,11622.0,525.0,,-0.0010977293101182006,-0.000490154292046685
