,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6073339.037263157,11503.25,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5792993.20032915,10776.0,493.0,6155394.0,11883.0,518.0,6536935.948723478,11573.0,518.0,5808033.0,11781.0,493.0,,0.027820285049990012,0.02856823516262441
2020-11-15,5908950.35406678,11183.75,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5636812.690510501,10470.0,493.0,5988080.0,11560.0,518.0,6361621.725756621,11246.0,518.0,5649287.0,11459.0,493.0,,-0.014216346671460212,0.0011861599749338758
2020-10-15,5994165.488659669,11170.5,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5718297.58011907,10285.0,493.0,6073550.0,11725.0,518.0,6455168.374519606,11050.0,518.0,5729646.0,11622.0,493.0,,0.0040517728436064715,-0.05418906904872778
2020-9-15,5969976.5,11810.5,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5859305.0,11885.0,493.0,6111882.0,11799.0,518.0,6104630.0,11785.0,518.0,5804089.0,11773.0,493.0,,0.01615159747915107,0.016153664150050595
2020-8-15,5875084.5,11622.75,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5766621.0,11697.0,493.0,6015534.0,11613.0,518.0,6007764.0,11598.0,518.0,5710419.0,11583.0,493.0,,-0.02192296917607517,-0.02188045696492813
2020-7-15,6006770.75,11882.75,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5906140.0,11980.0,493.0,6161092.0,11894.0,518.0,6152804.0,11878.0,518.0,5807047.0,11779.0,493.0,,0.010602647612482086,0.010545338577654828
2020-6-15,5943751.25,11758.75,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5821837.0,11809.0,493.0,6104630.0,11785.0,518.0,6052830.0,11685.0,518.0,5795708.0,11756.0,493.0,,-0.0031801794946134665,-0.0031789763696089546
2020-5-15,5962713.75,11796.25,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5840571.0,11847.0,493.0,6124832.0,11824.0,518.0,6071996.0,11722.0,518.0,5813456.0,11792.0,493.0,,0.014228067859758609,0.014229520882144353
2020-4-15,5879066.0,11630.75,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5758733.0,11681.0,493.0,6039880.0,11660.0,518.0,5986526.0,11557.0,518.0,5731125.0,11625.0,493.0,,-0.020636901209334924,-0.020589040230731936
2020-3-15,6002948.25,11875.25,"KWONG MING BLDG,TUNG MING ST|光明大樓,通明街",5868672.0,11904.0,493.0,6155912.0,11884.0,518.0,6147624.0,11868.0,518.0,5839585.0,11845.0,493.0,,0.05729051953780706,0.05729294188349998
