,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,6448946.9,11813.4,10,64489469.0,118134.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",6446192.0,11038.0,584.0,6508683.0,11013.0,591.0,7141053.0,12083.0,591.0,6647672.0,11383.0,584.0,5433617.0,12607.0,431.0,6883716.0,11707.0,588.0,6908381.0,11729.0,589.0,5950296.0,12294.0,484.0,7056588.0,12001.0,588.0,5513271.0,12279.0,449.0,0.011705207163603237,0.0105733203305447
2019-11-15,6374334.0,11689.8,10,63743340.0,116898.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",6486487.999999999,11107.0,584.0,6552417.0,11087.0,591.0,7187742.0,12162.0,591.0,6689136.0,11454.0,584.0,5469821.0,12691.0,431.0,6593244.0,11213.0,588.0,6553803.0,11127.0,589.0,5922708.0,12237.0,484.0,6737892.0,11459.0,588.0,5550089.0,12361.0,449.0,-0.05524520638023778,-0.05479684657368111
2019-10-15,6747077.7,12367.5,10,67470777.0,123675.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",6879520.0,11780.0,584.0,6953115.0,11765.0,591.0,7625673.0,12903.0,591.0,7095600.0,12150.0,584.0,5804277.0,13467.0,431.0,6996024.0,11898.0,588.0,6950200.0,11800.0,589.0,6282804.0,12981.0,484.0,7147140.0,12155.0,588.0,5736424.0,12776.0,449.0,0.09068671929383676,0.090695028705982
2019-9-15,6186082.2,11339.1,10,61860822.0,113391.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",6307784.0,10801.0,584.0,6375708.0,10788.0,591.0,6991530.0,11830.0,591.0,6505760.0,11140.0,584.0,5321126.0,12346.0,431.0,6415080.0,10910.0,588.0,6371802.0,10818.0,589.0,5760084.0,11901.0,484.0,6553260.0,11145.0,588.0,5258688.0,11712.0,449.0,-0.10906788337245787,-0.1091426192028786
2019-8-15,6943382.2,12728.3,10,69433822.0,127283.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",7105528.0,12167.0,584.0,7182423.0,12153.0,591.0,7876257.0,13327.0,591.0,7129472.0,12208.0,584.0,5990900.0,13900.0,431.0,7226520.0,12290.0,588.0,7176376.0,12184.0,589.0,6443492.0,13313.0,484.0,7382340.0,12555.0,588.0,5920514.0,13186.0,449.0,0.012761596047171198,0.012134513386928614
2019-7-15,6855890.1,12575.7,10,68558901.0,125757.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",7078080.0,12120.0,584.0,7116822.0,12042.0,591.0,7845525.0,13275.0,591.0,7098520.0,12155.0,584.0,5964178.0,13838.0,431.0,7198296.0,12242.0,588.0,6592677.0,11193.0,589.0,6417840.0,13260.0,484.0,7352940.0,12505.0,588.0,5894023.0,13127.0,449.0,0.04930529855632493,0.0493303850807294
2019-6-15,6533742.0,11984.5,10,65337420.0,119845.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",6746368.0,11552.0,584.0,6785271.0,11481.0,591.0,7477923.0,12653.0,591.0,6762720.0,11580.0,584.0,5681442.0,13182.0,431.0,6860784.0,11668.0,588.0,6283452.0,10668.0,589.0,6116792.0,12638.0,484.0,7008372.0,11919.0,588.0,5614296.0,12504.0,449.0,-0.02607500210250291,-0.0260542376738101
2019-5-15,6708670.6,12305.1,10,67086706.0,123051.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",6927408.0,11862.0,584.0,6969663.0,11793.0,591.0,7679454.0,12994.0,591.0,6941424.0,11886.0,584.0,5831430.0,13530.0,431.0,7046004.0,11983.0,588.0,6451906.0,10954.0,589.0,6280868.0,12977.0,484.0,7196532.0,12239.0,588.0,5762017.0,12833.0,449.0,0.054797859188216114,0.05275270565085344
2019-4-15,6360148.1,11688.5,10,63601481.0,116885.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",6749872.0,11558.0,584.0,6792363.0,11493.0,591.0,7367997.0,12467.0,591.0,6282672.0,10758.0,584.0,5678425.0,13175.0,431.0,6395088.0,10876.0,588.0,6285808.0,10672.0,589.0,6118728.0,12642.0,484.0,6319824.0,10748.0,588.0,5610704.0,12496.0,449.0,0.0011468531279199556,0.001164892204644108
2019-3-15,6352862.3,11674.9,10,63528623.0,116749.0,5479,"RHYTHM GDN(Block 5),CHOI HUNG RD|采頤花園5座,彩虹道",6743448.0,11547.0,584.0,6787635.0,11485.0,591.0,7357359.0,12449.0,591.0,6276832.0,10748.0,584.0,5670236.0,13156.0,431.0,6386856.0,10862.0,588.0,6279329.0,10661.0,589.0,6112436.0,12629.0,484.0,6312768.0,10736.0,588.0,5601724.0,12476.0,449.0,0.06935117390220236,0.07208514311426195
