,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,nfa_avg,lumpSum_change,npsf_change
2020-12-15,3948349.769728629,7334.166666666667,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",3590112.950571272,7245.0,490.0,3433025.978538755,7332.0,463.0,3440341.615525398,7162.0,475.0,4508435.739712273,7133.0,625.0,4056094.9580331757,7266.0,552.0,4662087.375990901,7867.0,586.0,,-0.012461404319377922,0.0765749235474007
2020-11-15,3998172.61522562,6812.5,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",3636179.028657282,6731.0,490.0,3476653.8961119694,6811.0,463.0,3484544.3248950597,6654.0,475.0,4566322.4417998595,6627.0,625.0,4107221.2000986035,6749.0,552.0,4718114.799790946,7303.0,586.0,,-0.0312699092840969,0.0002691855912293484
2020-10-15,4127230.7462555673,6810.666666666667,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",3754041.8521369556,6730.0,490.0,3588825.077983396,6809.0,463.0,3598026.6185391843,6654.0,475.0,4715035.356860767,6627.0,625.0,4240354.028218921,6748.0,552.0,4867101.5437941775,7296.0,586.0,,-0.056046513287759114,0.0538477408706417
2020-9-15,4372281.9019722855,6462.666666666667,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",4341788.310361034,6169.0,490.0,3899713.908534158,5864.0,463.0,3516426.3309552735,6525.0,475.0,5086445.345246975,5666.0,625.0,4636955.046106021,7404.0,552.0,4752362.470630246,7148.0,586.0,,0.0720380139038459,-0.10543072025100342
2020-8-15,4078476.551452258,7224.333333333333,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",3762006.216364339,7242.0,490.0,3558638.7700942336,7250.0,463.0,3402612.059439994,6757.0,475.0,4707702.47663654,7105.0,625.0,4445175.8081164695,7596.0,552.0,4594723.978061974,7396.0,586.0,,-0.05909924833357694,0.06766176506810506
2020-7-15,4334651.177851538,6766.5,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",3998362.594570767,6783.0,490.0,3782500.5538501195,6791.0,463.0,3619966.1345403604,6335.0,475.0,5003712.587829955,6655.0,625.0,4719431.337559737,7107.0,552.0,4883933.858758287,6928.0,586.0,,0.032028184130536985,-0.05866122562544929
2020-6-15,4200128.683019829,7188.166666666667,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",3941200.898519101,7328.0,490.0,3653902.1575458767,7190.0,463.0,3500434.6887287763,6714.0,475.0,4833588.655437764,7046.0,625.0,4553788.768326352,7516.0,552.0,4717856.9295611,7335.0,586.0,,-0.0033994278939779576,0.02325084818145151
2020-5-15,4214455.420333638,7024.833333333333,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",3993962.4336045366,7230.0,490.0,3702376.2316145543,7093.0,463.0,3550395.515857704,6630.0,475.0,4897753.2806872465,6951.0,625.0,4361167.522385391,7008.0,552.0,4781077.537852394,7237.0,586.0,,0.05414014523834276,0.01919961310603302
2020-4-15,3998002.9594459124,6892.5,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",3721034.383840358,6834.0,490.0,3449114.6063768924,6704.0,463.0,3308906.5961728636,6269.0,475.0,4562174.658566283,6569.0,625.0,4492176.0,8138.0,552.0,4454611.511719077,6841.0,586.0,,-0.06812260013298299,-0.04558042926378958
2020-3-15,4290267.110261978,7221.666666666667,"KAM PAK HSE,KWONG FUK RD|金柏樓,廣福道",4043412.9347486375,6983.0,490.0,3428978.0,7406.0,463.0,3594635.8959840895,6404.0,475.0,4956524.190873555,6711.0,625.0,4876920.0,8835.0,552.0,4841131.639965586,6991.0,586.0,,-0.03832843222102189,-0.014801846251790596
