,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_CD,npsf_CD,nfa_CD,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6971619.333333333,14073.777777777777,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6503992.0,13438.0,484.0,6738168.0,15108.0,446.0,6694080.0,14680.0,456.0,10597434.0,11238.0,943.0,6953386.0,14278.0,487.0,6534348.0,14717.0,444.0,6365044.0,14666.0,434.0,6056442.0,14217.0,426.0,6301680.0,14322.0,440.0,,0.017734672198647772,0.017773920869090132
2020-11-15,6850134.444444444,13828.0,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6410580.0,13245.0,484.0,6641832.0,14892.0,446.0,6597864.0,14469.0,456.0,10444668.0,11076.0,943.0,6655342.0,13666.0,487.0,6446436.0,14519.0,444.0,6273470.0,14455.0,434.0,5969538.0,14013.0,426.0,6211480.0,14117.0,440.0,,-0.009912087057934005,-0.009920524427401878
2020-10-15,6918713.333333333,13966.555555555555,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6474952.000000001,13378.0,484.0,6708732.0,15042.0,446.0,6663984.0,14614.0,456.0,10548398.0,11186.0,943.0,6721574.0,13802.0,487.0,6510816.0,14664.0,444.0,6336400.0,14600.0,434.0,6029604.0,14154.0,426.0,6273960.0,14259.0,440.0,,-0.02875505465337258,-0.028796377852981614
2020-9-15,7123551.444444444,14380.666666666666,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6651128.0,13742.0,484.0,6891146.0,15451.0,446.0,6845016.0,15011.0,456.0,10835070.0,11490.0,943.0,7054195.0,14485.0,487.0,6688416.0,15064.0,444.0,6508698.0,14997.0,434.0,6193614.0,14539.0,426.0,6444680.0,14647.0,440.0,,0.04328353373250926,0.043261673880975904
2020-8-15,6828011.0,13784.333333333334,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6374764.0,13171.0,484.0,6605260.0,14810.0,446.0,6562752.0,14392.0,456.0,10383373.0,11011.0,943.0,6761508.0,13884.0,487.0,6410916.0,14439.0,444.0,6238750.0,14375.0,434.0,5936736.0,13936.0,426.0,6178040.0,14041.0,440.0,,-0.009193100233857887,-0.009200469607302919
2020-7-15,6891364.0,13912.333333333334,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6436716.0,13299.0,484.0,6671713.999999999,14959.0,446.0,6630240.0,14540.0,456.0,10485217.0,11119.0,943.0,6785371.0,13933.0,487.0,6475296.0,14584.0,444.0,6300811.999999999,14518.0,434.0,5995950.000000001,14075.0,426.0,6240960.0,14184.0,440.0,,0.008585279325752593,0.008806136096295436
2020-6-15,6832703.333333333,13790.888888888889,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6394124.0,13211.0,484.0,6499558.0,14573.0,446.0,6590112.0,14452.0,456.0,10416378.0,11046.0,943.0,6742027.999999999,13844.0,487.0,6434448.0,14492.0,444.0,6257846.0,14419.0,434.0,5958036.0,13986.0,426.0,6201800.0,14095.0,440.0,,-0.025703626857170314,-0.025715496805187033
2020-5-15,7012961.888888889,14154.888888888889,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6561588.0,13557.0,484.0,6669930.0,14955.0,446.0,6765672.0,14837.0,456.0,10689848.0,11336.0,943.0,6920757.0,14211.0,487.0,6604944.0,14876.0,444.0,6420596.0,14794.0,434.0,6116082.0,14357.0,426.0,6367240.0,14471.0,440.0,,0.026845826697541098,0.026849262068465274
2020-4-15,6829615.222222222,13784.777777777777,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6388800.0,13200.0,484.0,6494206.0,14561.0,446.0,6589656.0,14451.0,456.0,10410719.999999998,11040.0,943.0,6740567.0,13841.0,487.0,6433116.0,14489.0,444.0,6250034.0,14401.0,434.0,5956758.0,13983.0,426.0,6202680.0,14097.0,440.0,,-0.004212594622548749,-0.004101979546293766
2020-3-15,6858507.333333333,13841.555555555555,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6422680.0,13270.0,484.0,6528994.0,14639.0,446.0,6549528.0,14363.0,456.0,10468243.0,11101.0,943.0,6777579.0,13917.0,487.0,6469080.0,14570.0,444.0,6281716.0,14474.0,434.0,5989986.0,14061.0,426.0,6238760.0,14179.0,440.0,,0.03132317603657708,0.031455185261850316
2020-2-15,6650201.888888889,13419.444444444445,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6237308.0,12887.0,484.0,6340336.0,14216.0,446.0,6263616.0,13736.0,456.0,10165540.0,10780.0,943.0,6582779.0,13517.0,487.0,6283488.000000001,14152.0,444.0,6099002.0,14053.0,434.0,5818308.0,13658.0,426.0,6061440.0,13776.0,440.0,,-0.04897499777942005,-0.04789121009065822
2020-1-15,6992667.777777778,14094.444444444445,"SUMMIT TERR(Phase 1),Block 2,ON YUK RD|翠豐臺1期,2座,安育路",6528192.0,13488.0,484.0,6636034.0,14879.0,446.0,6669912.0,14627.0,456.0,10812438.0,11466.0,943.0,6890076.0,14148.0,487.0,6577860.0,14815.0,444.0,6381536.0,14704.0,434.0,6090522.0,14297.0,426.0,6347440.0,14426.0,440.0,,0.0005797682656734082,0.0006310641318925114
