,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,3315755.750911059,6813.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3348299.601460345,6805.0,460.0,3283211.9003617726,6821.0,450.0,,-0.03095053167736117,1.0434913017396519
2020-11-15,3421657.881563482,3334.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3455153.790816402,3330.0,460.0,3388161.972310561,3338.0,450.0,,0.019781926476862832,-0.02085168869309839
2020-10-15,3355283.9021030776,3405.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3388213.982516875,3401.0,460.0,3322353.8216892807,3409.0,450.0,,-0.00858341591127898,0.025139244317326614
2020-9-15,3384333.0401691324,3321.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3417957.6927602664,3318.0,460.0,3350708.3875779985,3325.0,450.0,,0.018093811891267686,-0.04746200172067683
2020-8-15,3324185.846766132,3487.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3356902.541006364,3483.0,460.0,3291469.1525259004,3491.0,450.0,,-0.005608535283238791,0.02408223201174753
2020-7-15,3342934.814623515,3405.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3375743.6962190885,3401.0,460.0,3310125.9330279413,3409.0,450.0,,-0.002910700562965607,-0.01929723502304148
2020-6-15,3352693.5014857408,3472.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3385674.1546394806,3468.0,460.0,3319712.8483320014,3476.0,450.0,,-0.004877092155642804,-0.05729025251153952
2020-5-15,3369125.034764169,3683.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3402489.675537026,3679.0,460.0,3335760.393991312,3687.0,450.0,,0.01645083951466675,-0.102910729509195
2020-4-15,3314597.1293337243,4105.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3347388.569793519,4101.0,460.0,3281805.6888739294,4110.0,450.0,,-0.01631857650032964,0.28196721311475414
2020-3-15,3369583.9426765745,3202.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3402930.1327318866,3199.0,460.0,3336237.7526212623,3206.0,450.0,,0.023120454358842135,0.013449367088607556
2020-2-15,3293438.1561046867,3160.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3325461.320582106,3156.0,460.0,3261414.9916272676,3164.0,450.0,,0.02677086663358641,-0.017565676978081757
2020-1-15,3207568.7605966944,3216.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3239326.867137255,3213.0,460.0,3175810.6540561332,3220.0,450.0,,-0.03895706803077448,0.10135250813216912
2019-12-15,3337591.5413312744,2920.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3370268.948900995,2917.0,460.0,3304914.133761554,2924.0,450.0,,0.009604471869500086,-0.01284434679736357
2019-11-15,3305840.6874436727,2958.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3338258.113395873,2955.0,460.0,3273423.261491473,2962.0,450.0,,0.009858857715954183,0.026722193302099573
2019-10-15,3273567.055618693,2881.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3305564.5247127153,2878.0,460.0,3241569.5865246714,2885.0,450.0,,-0.026312287060117012,0.022170982617949697
2019-9-15,3362029.7474379325,2819.0,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3395397.6233529546,2816.0,460.0,3328661.8715229104,2822.0,450.0,,-0.02461620792052699,0.013481934208161128
2019-8-15,3446878.833479733,2781.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3480419.831243027,2778.0,460.0,3413337.83571644,2785.0,450.0,,-0.008987574769461437,-0.008907892392659877
2019-7-15,3478138.8666018876,2806.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3512023.033047083,2803.0,460.0,3444254.7001566924,2810.0,450.0,,0.010667817977357386,0.03656509695290855
2019-6-15,3441426.3566467008,2707.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3474795.952131823,2704.0,460.0,3408056.7611615784,2711.0,450.0,,-0.02410134144336218,-0.01563352117796768
2019-5-15,3526417.755032678,2750.5,"KEI YIP BLDG,YUEN LONG ON HING ST|基業大廈,元朗安興街",3560682.7254681676,2747.0,460.0,3492152.7845971887,2754.0,450.0,,0.010003123861749064,0.03169542385596391
