,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,21080933.098488163,14534.0,3,63242799.29546449,43602.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",24182182.14130466,15926.0,1010.0,15708853.15415983,6272.0,721.0,23351764.0,21404.0,1091.0,-0.06894085687524709,-0.022836780887922736
2019-11-15,22641883.98143846,14873.666666666666,3,67925651.94431539,44621.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",25968040.121463582,15482.0,1010.0,16882067.822851807,6155.0,721.0,25075544.0,22984.0,1091.0,0.041173031401366744,-0.1315661431268368
2019-10-15,21746514.074575692,17127.0,3,65239542.22372708,51381.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",23310800.0,23080.0,1010.0,16879382.223727077,5341.0,721.0,25049360.0,22960.0,1091.0,-0.004997824113043281,-0.003742195679993676
2019-9-15,21855745.245170537,17191.333333333332,3,65567235.735511616,51574.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",23421900.0,23190.0,1010.0,16975965.73551162,5314.0,721.0,25169370.0,23070.0,1091.0,-0.012569881569004626,-0.03252795077661885
2019-8-15,22133966.58378097,17769.333333333332,3,66401899.75134291,53308.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",23714800.0,23480.0,1010.0,17203521.751342908,6470.0,721.0,25483578.0,23358.0,1091.0,-0.013642276312707646,-0.011826641456271103
2019-7-15,22440100.637158047,17982.0,3,67320301.91147414,53946.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",24035980.0,23798.0,1010.0,17454896.91147414,6473.0,721.0,25829425.0,23675.0,1091.0,-0.009376008688673831,-0.023919808931027076
2019-6-15,22652490.585709766,18422.666666666668,3,67957471.7571293,55268.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",24257170.0,24017.0,1010.0,17631947.757129293,7357.0,721.0,26068354.0,23894.0,1091.0,0.0059739123595201615,-0.008361144005454402
2019-5-15,22517970.205189675,18578.0,3,67553910.61556903,55734.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",24107690.0,23869.0,1010.0,17538243.61556902,8118.0,721.0,25907977.0,23747.0,1091.0,0.0882425604002155,0.04930810505506922
2019-4-15,20692050.67380235,17705.0,3,62076152.02140705,53115.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",22085670.0,21867.0,1010.0,16255777.021407053,9493.0,721.0,23734705.0,21755.0,1091.0,-0.03627846293202175,-0.030341201599211387
2019-3-15,21470985.007511344,18259.0,3,64412955.02253403,54777.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",22911850.0,22685.0,1010.0,16879417.02253403,9524.0,721.0,24621688.0,22568.0,1091.0,-0.09527321128723065,-0.06598803007826493
2019-2-15,23732009.790557783,19549.0,3,71196029.37167335,58647.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",25318680.0,25068.0,1010.0,18669991.371673353,8641.0,721.0,27207358.0,24938.0,1091.0,0.05839458840053657,0.0876870861848329
2019-1-15,22422648.46272692,17973.0,3,67267945.38818076,53919.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",24286460.0,24046.0,1010.0,16884765.38818077,5953.0,721.0,26096720.0,23920.0,1091.0,0.23580910171966019,0.22284716394892623
2018-12-15,18144103.673880722,14697.666666666666,3,54432311.02164216,44093.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",19652580.0,19458.0,1010.0,13663426.021642158,5280.0,721.0,21116305.000000004,19355.0,1091.0,-0.2103686887883498,-0.19111738915081355
2018-11-15,22977943.524097964,18170.333333333332,3,68933830.57229389,54511.0,2822,"KINGSFORD GARDEN,BLUE POOL RD|晶輝花園,藍塘道",24889430.0,24643.0,1010.0,17302899.572293896,5357.0,721.0,26741501.0,24511.0,1091.0,0.061693145767427904,0.0419366553892615
