,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,3989841.3125,10419.0625,16,63837461.0,166705.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",3960332.9999999995,11283.0,351.0,4064924.9999999995,9795.0,415.0,4042100.0000000005,9740.0,415.0,3946899.0,10873.0,363.0,3791683.9999999995,11218.0,338.0,4209760.0,10144.0,415.0,4125929.9999999995,9942.0,415.0,4043094.0000000005,11138.0,363.0,4054965.0000000005,9771.0,415.0,4237150.0,10210.0,415.0,3955974.0000000005,10898.0,363.0,3574688.0,10576.0,338.0,4096464.9999999995,9871.0,415.0,4124270.0000000005,9938.0,415.0,3936009.0,10843.0,363.0,3673215.0,10465.0,351.0,-0.030929530078371847,-0.03093700407494171
2019-11-15,4117183.875,10751.6875,16,65874942.0,172027.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4087044.0,11644.0,351.0,4192745.0000000005,10103.0,415.0,4170750.0,10050.0,415.0,4075038.0,11226.0,363.0,3912688.0,11576.0,338.0,4345880.0,10472.0,415.0,4257485.0,10259.0,415.0,4174499.9999999995,11500.0,363.0,4183200.0,10080.0,415.0,4371195.0,10533.0,415.0,4081934.9999999995,11245.0,363.0,3686566.0,10907.0,338.0,4226360.0,10184.0,415.0,4254995.0,10253.0,415.0,4063059.0,11193.0,363.0,3791502.0,10802.0,351.0,-0.006514660485832602,-0.006738108710463431
2019-10-15,4144181.8125,10824.625,16,66306909.0,173194.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4135130.9999999995,11781.0,351.0,4125100.0,9940.0,415.0,4217645.0,10163.0,415.0,4124406.0,11362.0,363.0,3958317.9999999995,11711.0,338.0,4281970.0,10318.0,415.0,4350030.0,10482.0,415.0,4225683.0,11641.0,363.0,4229265.0,10191.0,415.0,4313925.0,10395.0,415.0,4128762.0000000005,11374.0,363.0,3726788.0,11026.0,338.0,4274085.0,10299.0,415.0,4353350.0,10490.0,415.0,4025670.0000000005,11090.0,363.0,3836781.0,10931.0,351.0,0.0003020959621513608,0.00016747033176445214
2019-9-15,4142930.25,10822.8125,16,66286884.0,173165.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4143906.0,11806.0,351.0,4132569.9999999995,9958.0,415.0,4164110.0,10034.0,415.0,4133481.0,11387.0,363.0,3964740.0,11730.0,338.0,4292345.0,10343.0,415.0,4357915.0,10501.0,415.0,4236210.0,11670.0,363.0,4170750.0,10050.0,415.0,4320980.0,10412.0,415.0,4136385.0000000005,11395.0,363.0,3731858.0,11041.0,338.0,4281970.0,10318.0,415.0,4360405.0,10507.0,415.0,4014054.0,11058.0,363.0,3845205.0,10955.0,351.0,-0.0512383024270906,-0.05125985503038011
2019-8-15,4366671.0625,11407.5625,16,69866737.0,182521.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4444011.0,12661.0,351.0,4346710.0,10474.0,415.0,4378665.0,10551.0,415.0,4347651.0,11977.0,363.0,4167540.0,12330.0,338.0,4516860.0,10884.0,415.0,4582845.0,11043.0,415.0,4457640.0,12280.0,363.0,4385720.0,10568.0,415.0,4543835.0,10949.0,415.0,4349466.0,11982.0,363.0,3922152.0,11604.0,338.0,4502335.0,10849.0,415.0,4657960.0,11224.0,415.0,4218423.0,11621.0,363.0,4044924.0,11524.0,351.0,0.024784335307141303,0.024794362875831588
2019-7-15,4261063.4375,11131.5625,16,68177015.0,178105.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4335552.0,12352.0,351.0,4241715.0,10221.0,415.0,4272840.0,10296.0,415.0,4243107.0,11689.0,363.0,4065126.0,12027.0,338.0,4410205.0,10627.0,415.0,4472455.0,10777.0,415.0,4352733.0,11991.0,363.0,4279480.0,10312.0,415.0,4433445.0,10683.0,415.0,4244196.0,11692.0,363.0,3825146.0,11317.0,338.0,4393190.0,10586.0,415.0,4545910.0,10954.0,415.0,4113516.0000000005,11332.0,363.0,3948398.9999999995,11249.0,351.0,2.1972697324734725e-05,2.24591664279572e-05
2019-6-15,4260969.8125,11131.3125,16,68175517.0,178101.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4325724.0,12324.0,351.0,4233415.0,10201.0,415.0,4263295.0,10273.0,415.0,4324782.0,11914.0,363.0,4054648.0,11996.0,338.0,4403565.0,10611.0,415.0,4462910.0,10754.0,415.0,4345836.0,11972.0,363.0,4324715.0,10421.0,415.0,4423485.0,10659.0,415.0,4234758.0,11666.0,363.0,3814668.0,11286.0,338.0,4383230.0,10562.0,415.0,4537195.0,10933.0,415.0,4102263.0000000005,11301.0,363.0,3941028.0000000005,11228.0,351.0,-0.007746677981446459,-0.007578248198772952
2019-5-15,4294235.875,11216.3125,16,68707774.0,179461.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4364685.0,12435.0,351.0,4272425.0,10295.0,415.0,4282385.0,10319.0,415.0,4299372.0,11844.0,363.0,4090138.0,12101.0,338.0,4447140.0,10716.0,415.0,4504410.0,10854.0,415.0,4388670.0,12090.0,363.0,4365800.0,10520.0,415.0,4474530.0,10782.0,415.0,4199910.0,11570.0,363.0,3847792.0,11384.0,338.0,4423485.0,10659.0,415.0,4630985.0,11159.0,415.0,4137111.0,11397.0,363.0,3978936.0000000005,11336.0,351.0,0.039253188520283366,0.039070596886163766
2019-4-15,4132040.125,10794.5625,16,66112642.0,172713.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4190238.0,11938.0,351.0,4101860.0,9884.0,415.0,4111820.0,9908.0,415.0,4198821.0,11567.0,363.0,3938714.0000000005,11653.0,338.0,4272425.0,10295.0,415.0,4325130.0,10422.0,415.0,4312440.0,11880.0,363.0,4169920.0,10048.0,415.0,4294420.0,10348.0,415.0,4032930.0,11110.0,363.0,3692312.0,10924.0,338.0,4246695.0,10233.0,415.0,4445065.0,10711.0,415.0,3958514.9999999995,10905.0,363.0,3821337.0,10887.0,351.0,0.008257929248163265,0.008248686514886083
2019-3-15,4098197.5,10706.25,16,65571160.0,171300.0,6150,"LOK HEI HSE(Block E,SIU HEI COURT),WU CHUI RD|兆禧苑,E座(樂禧閣),湖翠路",4154436.0,11836.0,351.0,4066170.0,9798.0,415.0,4077375.0,9825.0,415.0,4161069.0000000005,11463.0,363.0,3904238.0,11551.0,338.0,4238810.0,10214.0,415.0,4288610.0,10334.0,415.0,4275414.0,11778.0,363.0,4135475.0,9965.0,415.0,4255825.0,10255.0,415.0,3998808.0000000005,11016.0,363.0,3654794.0,10813.0,338.0,4210175.0,10145.0,415.0,4406055.0,10617.0,415.0,3954159.0,10893.0,363.0,3789747.0,10797.0,351.0,0.04255221552736166,0.04256691782405997
