,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,17385020.0,16767.0,4,69540080.0,67068.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",16814750.0,16325.0,1030.0,16089780.0,15852.0,1015.0,19316850.0,18397.0,1050.0,17318700.0,16494.0,1050.0,-0.06032868054231977,-0.060330092190433504
2019-11-15,18501171.25,17843.5,4,74004685.0,71374.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17901400.0,17380.0,1030.0,17122035.0,16869.0,1015.0,20538000.0,19560.0,1050.0,18443250.0,17565.0,1050.0,-0.016251035778878098,-0.016250189516629265
2019-10-15,18806801.25,18138.25,4,75227205.0,72553.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",18202160.0,17672.0,1030.0,17400145.0,17143.0,1015.0,20864550.0,19871.0,1050.0,18760350.0,17867.0,1050.0,0.088287591150908,0.08828955855220721
2019-9-15,17281095.0,16666.75,4,69124380.0,66667.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",16730290.0,16243.0,1030.0,15982190.0,15746.0,1015.0,19163550.0,18251.0,1050.0,17248350.0,16427.0,1050.0,-0.11087086365537424,-0.11086956521739133
2019-8-15,19435978.75,18745.0,4,77743915.0,74980.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",18822220.0,18274.0,1030.0,17968545.0,17703.0,1015.0,21542850.0,20517.0,1050.0,19410300.0,18486.0,1050.0,0.024591663322480306,0.024540883253170165
2019-7-15,18969487.5,18296.0,4,75877950.0,73184.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",18451420.0,17914.0,1030.0,17602130.0,17342.0,1015.0,20791050.0,19801.0,1050.0,19033350.0,18127.0,1050.0,0.029425570981679083,0.029426658414448914
2019-6-15,18427255.0,17773.0,4,73709020.0,71092.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17924060.0,17402.0,1030.0,17096660.0,16844.0,1015.0,20183100.0,19222.0,1050.0,18505200.0,17624.0,1050.0,-0.014883265589786476,-0.014882354571404854
2019-5-15,18705656.25,18041.5,4,74822625.0,72166.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",18201130.0,17671.0,1030.0,17349395.0,17093.0,1015.0,20479200.0,19504.0,1050.0,18792900.0,17898.0,1050.0,0.031368662420908855,0.03137013905760955
2019-4-15,18136731.25,17492.75,4,72546925.0,69971.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17653170.0,17139.0,1030.0,16815505.0,16567.0,1015.0,19848150.0,18903.0,1050.0,18230100.0,17362.0,1050.0,-0.0030755495323773197,-0.0030206745223202436
2019-3-15,18192683.75,17545.75,4,72770735.0,70183.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17637720.0,17124.0,1030.0,16789115.0,16541.0,1015.0,20127450.000000004,19169.0,1050.0,18216450.0,17349.0,1050.0,0.010304249558872769,0.010307052269422856
2019-2-15,18007133.75,17366.75,4,72028535.0,69467.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17460560.0,16952.0,1030.0,16610475.0,16365.0,1015.0,19921650.0,18973.0,1050.0,18035850.0,17177.0,1050.0,0.06706197996244101,0.06706502204267206
2019-1-15,16875433.75,16275.25,4,67501735.0,65101.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",16366700.000000002,15890.0,1030.0,15558935.0,15329.0,1015.0,18667950.0,17779.0,1050.0,16908150.0,16103.0,1050.0,-0.03249306440771782,-0.03280393409499471
2018-12-15,17442183.75,16827.25,4,69768735.0,67309.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17925090.0,17403.0,1030.0,16171995.0,15933.0,1015.0,18711000.0,17820.0,1050.0,16960650.0,16153.0,1050.0,0.03092087269174515,0.030923571756777513
2018-11-15,16919032.5,16322.5,4,67676130.0,65290.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17387430.0,16881.0,1030.0,15681750.0,15450.0,1015.0,18148200.0,17284.0,1050.0,16458750.0,15675.0,1050.0,-0.12408485059020224,-0.12408269496505187
2018-10-15,19315835.0,18634.75,4,77263340.0,74539.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",19849130.0,19271.0,1030.0,17898510.0,17634.0,1015.0,20716500.0,19730.0,1050.0,18799200.0,17904.0,1050.0,-0.0050476261669919475,-0.005019021557765457
2018-9-15,19413828.75,18728.75,4,77655315.0,74915.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",19715230.0,19141.0,1030.0,18055835.0,17789.0,1015.0,20904450.0,19909.0,1050.0,18979800.0,18076.0,1050.0,-0.034779012771429585,-0.03471246891468771
2018-8-15,20113351.25,19402.25,4,80453405.0,77609.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",19673000.0,19100.0,1030.0,18967305.0,18687.0,1015.0,21963900.0,20918.0,1050.0,19849200.0,18904.0,1050.0,0.022729763138438663,0.02273206473037792
2018-7-15,19666340.0,18971.0,4,78665360.0,75884.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",19233190.0,18673.0,1030.0,18542020.0,18268.0,1015.0,21475650.0,20453.0,1050.0,19414500.0,18490.0,1050.0,0.02317577140226068,0.023178048944920038
2018-6-15,19220881.25,18541.25,4,76883525.0,74165.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",18794410.0,18247.0,1030.0,18118765.0,17851.0,1015.0,20989500.0,19990.0,1050.0,18980850.0,18077.0,1050.0,0.019615627306728278,0.019618356292446792
2018-5-15,18851105.0,18184.5,4,75404420.0,72738.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",18428760.0,17892.0,1030.0,17766560.0,17504.0,1015.0,20590500.0,19610.0,1050.0,18618600.0,17732.0,1050.0,0.0034859110319489517,0.0035872954551725567
2018-4-15,18785620.0,18119.5,4,75142480.0,72478.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",18414340.0,17878.0,1030.0,17453940.0,17196.0,1015.0,20897100.0,19902.0,1050.0,18377100.0,17502.0,1050.0,0.029396421533922634,0.029400068174071148
2018-3-15,18249160.0,17602.0,4,72996640.0,70408.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17876680.0,17356.0,1030.0,16954560.0,16704.0,1015.0,20311200.0,19344.0,1050.0,17854200.0,17004.0,1050.0,-0.008774043512884577,-0.00877081837507565
2018-2-15,18410696.25,17757.75,4,73642785.0,71031.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",18023970.0,17499.0,1030.0,17103765.0,16851.0,1015.0,20501250.0,19525.0,1050.0,18013800.0,17156.0,1050.0,0.01997045743197101,0.019974152785755317
2018-1-15,18050225.0,17410.0,4,72200900.0,69640.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",17659350.0,17145.0,1030.0,16767800.0,16520.0,1015.0,20110650.0,19153.0,1050.0,17663100.0,16822.0,1050.0,0.09438431721349572,0.09458992172518932
2017-12-15,16493497.5,15905.5,4,65973990.0,63622.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",13776250.0,13375.0,1030.0,16286690.0,16046.0,1015.0,18546150.0,17663.0,1050.0,17364900.0,16538.0,1050.0,0.03325810806800167,0.033546144224052554
2017-11-15,15962611.25,15389.25,4,63850445.0,61557.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",13512570.0,13119.0,1030.0,15138725.0,14915.0,1015.0,18169200.0,17304.0,1050.0,17029950.0,16219.0,1050.0,0.02981391303576464,0.029811794228356225
2017-10-15,15500481.25,14943.75,4,62001925.0,59775.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",13128379.999999998,12746.0,1030.0,14700245.0,14483.0,1015.0,17629500.0,16790.0,1050.0,16543800.000000002,15756.0,1050.0,0.03372446363036752,0.033722438391699194
2017-9-15,14994790.0,14456.25,4,59979160.0,57825.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",12707110.000000002,12337.0,1030.0,14220150.0,14010.0,1015.0,17041500.0,16230.0,1050.0,16010400.0,15248.0,1050.0,-0.019039695430293158,-0.019233704777896543
2017-8-15,15285827.5,14739.75,4,61143310.0,58959.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",13169580.0,12786.0,1030.0,14729680.0,14512.0,1015.0,16654050.0,15861.0,1050.0,16590000.0,15800.0,1050.0,0.0013434045273863493,0.0013417119565217739
2017-7-15,15265320.0,14720.0,4,61061280.0,58880.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",13158250.0,12775.0,1030.0,14709380.0,14492.0,1015.0,16620450.0,15829.0,1050.0,16573200.0,15784.0,1050.0,-0.021867279655434113,-0.021829418214439955
2017-6-15,15606593.75,15048.5,4,62426375.0,60194.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",13414720.0,13024.0,1030.0,14988505.0,14767.0,1015.0,16926000.0,16120.0,1050.0,17097150.0,16283.0,1050.0,0.05324946665920938,0.053244912599954564
2017-5-15,14817566.25,14287.75,4,59270265.0,57151.0,4145,"VICTORIA CTR(Block 2),WATSON RD|維多利中心2座,屈臣道",12745220.0,12374.0,1030.0,14233345.0,14023.0,1015.0,16062899.999999998,15298.0,1050.0,16228800.0,15456.0,1050.0,-0.02131846818448868,-0.021319953421467197
