,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,4570834.764902251,8051.0,550.0,254,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
6.0/F中層A,6.0,中層,A,4658265.960256237,8205.0,550.0,265,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
8.0/F高層A,8.0,高層,A,4698007.4126898665,8275.0,550.0,266,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
2.0/F低層B,2.0,低層,B,4355095.451691114,7671.0,550.0,204,2,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
6.0/F中層B,6.0,中層,B,4441391.176975569,7823.0,550.0,214,2,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
8.0/F高層B,8.0,高層,B,4482835.834513498,7896.0,550.0,221,2,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
2.0/F低層C,2.0,低層,C,3293391.711348744,10226.0,312.0,368,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
6.0/F中層C,6.0,中層,C,3357159.7104536784,10424.0,312.0,383,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
8.0/F高層C,8.0,高層,C,3407040.0,10920.0,312.0,396,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
2.0/F低層D,2.0,低層,D,3297578.4991687657,10239.0,312.0,316,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
6.0/F中層D,6.0,中層,D,3360702.377070619,10435.0,312.0,328,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
8.0/F高層D,8.0,高層,D,3393552.558427706,10537.0,312.0,337,3,HSKW,"WING WAH MANSION,KAM WA ST|永華大廈,金華街"
