,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4.0/F低層1,4.0,低層,1,7378637.118887406,10570.0,665.0,307,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
9.0/F中層1,9.0,中層,1,7593643.763411276,10878.0,665.0,317,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
14.0/F高層1,14.0,高層,1,7915455.656675902,11339.0,665.0,319,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
4.0/F低層10,4.0,低層,10,8873196.781717509,10566.0,800.0,244,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
9.0/F中層10,9.0,中層,10,8202206.41368871,9767.0,800.0,312,5,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
14.0/F高層10,14.0,高層,10,9163763.324067902,10912.0,800.0,246,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
4.0/F低層11,4.0,低層,11,5713783.207866062,9969.0,546.0,304,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
9.0/F中層11,9.0,中層,11,5944764.713811495,10372.0,546.0,310,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
14.0/F高層11,14.0,高層,11,5721234.224186882,9982.0,546.0,317,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
4.0/F低層12,4.0,低層,12,5623620.45176412,10127.0,529.0,317,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
9.0/F中層12,9.0,中層,12,5774664.666524645,10399.0,529.0,313,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
14.0/F高層12,14.0,高層,12,5641945.668996095,10160.0,529.0,313,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
4.0/F低層12A,4.0,低層,12A,5039828.389275134,10215.0,470.0,317,4,KKC,"LUCKY BLDG,MA TAU WAI RD|七喜大廈,馬頭圍道"
