,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層1,6.0,低層,1,5615904,10248,548,211,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
17.0/F中層1,17.0,中層,1,5904152,10774,548,230,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
28.0/F高層1,28.0,高層,1,6213224,11338,548,219,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
6.0/F低層2,6.0,低層,2,5873688,10341,568,258,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
17.0/F中層2,17.0,中層,2,6182680,10885,568,276,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
28.0/F高層2,28.0,高層,2,6508712,11459,568,259,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
6.0/F低層3,6.0,低層,3,4855592,11188,434,282,4,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
17.0/F中層3,17.0,中層,3,5118162,11793,434,317,4,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
28.0/F高層3,28.0,高層,3,5391148,12422,434,314,4,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
6.0/F低層4,6.0,低層,4,4588362,11083,414,387,4,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
17.0/F中層4,17.0,中層,4,5021820,12130,414,324,4,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
28.0/F高層4,28.0,高層,4,5300028,12802,414,321,4,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
6.0/F低層5,6.0,低層,5,5615904,10248,548,211,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
17.0/F中層5,17.0,中層,5,5904152,10774,548,230,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
28.0/F高層5,28.0,高層,5,6213224,11338,548,219,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
6.0/F低層6,6.0,低層,6,5848696,10297,568,210,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
17.0/F中層6,17.0,中層,6,6158824,10843,568,229,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
28.0/F高層6,28.0,高層,6,6488832,11424,568,218,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
6.0/F低層7,6.0,低層,7,4315696,9944,434,232,2,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
17.0/F中層7,17.0,中層,7,4582606,10559,434,232,2,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
28.0/F高層7,28.0,高層,7,4833024,11136,434,208,2,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
6.0/F低層8,6.0,低層,8,4768866,11519,414,249,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
17.0/F中層8,17.0,中層,8,5030928,12152,414,274,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
28.0/F高層8,28.0,高層,8,5307894,12821,414,265,3,KNCW,"KING YING HSE,KING SHAN COURT,FUNG SHING ST|瓊英閣(瓊山苑),豐盛街"
