,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,4910772.0,13201.0,372,358,3,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層A,16.0,中層,A,5142900.0,13825.0,372,388,3,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層A,27.0,高層,A,5394000.0,14500.0,372,375,3,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層B,6.0,低層,B,5089784.0,13118.0,388,357,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層B,16.0,中層,B,5198036.0,13397.0,388,365,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層B,27.0,高層,B,5269428.0,13581.0,388,384,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層C,6.0,低層,C,4891770.0,13221.0,370,353,3,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層C,16.0,中層,C,4914340.0,13282.0,370,358,3,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層C,27.0,高層,C,5215150.0,14095.0,370,407,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層D,6.0,低層,D,4958760.0,13330.0,372,362,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層D,16.0,中層,D,5032044.0,13527.0,372,356,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層D,27.0,高層,D,5235528.0,14074.0,372,353,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層E,6.0,低層,E,5133180.0,13162.0,390,352,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層E,16.0,中層,E,5259150.0,13485.0,390,352,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層E,27.0,高層,E,5322720.0,13648.0,390,361,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層F,6.0,低層,F,5007691.0,13283.0,377,360,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層F,16.0,中層,F,5081206.0,13478.0,377,356,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層F,27.0,高層,F,5202223.0,13799.0,377,361,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層G,6.0,低層,G,5183629.0,13057.0,397,382,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層G,16.0,中層,G,5478600.0,13800.0,397,401,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層G,27.0,高層,G,5636209.0,14197.0,397,370,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層H,6.0,低層,H,5199906.0,13098.0,397,348,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層H,16.0,中層,H,5327740.0,13420.0,397,348,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層H,27.0,高層,H,5489319.0,13827.0,397,345,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層I,6.0,低層,I,4885920.0,12960.0,377,355,3,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層I,16.0,中層,I,5101941.0,13533.0,377,353,3,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層I,27.0,高層,I,5245578.0,13914.0,377,352,3,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
6.0/F低層J,6.0,低層,J,5118750.0,13125.0,390,388,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
16.0/F中層J,16.0,中層,J,5242770.0,13443.0,390,395,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
27.0/F高層J,27.0,高層,J,5413980.0,13882.0,390,392,4,NTP,"YEE FAI COURT(TAI PO PLAZA),ON TAI RD|宜輝閣(大埔廣場),安泰路"
