,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層1,7.0,低層,1,5669060.0,10345.0,548.0,257,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
18.0/F中層1,18.0,中層,1,5954568.0,10866.0,548.0,257,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
28.0/F高層1,28.0,高層,1,6238980.0,11385.0,548.0,237,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
7.0/F低層2,7.0,低層,2,5933896.0,10447.0,568.0,250,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
18.0/F中層2,18.0,中層,2,6224144.0,10958.0,568.0,250,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
28.0/F高層2,28.0,高層,2,6509280.0,11460.0,568.0,230,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
7.0/F低層3,7.0,低層,3,4733204.0,10906.0,434.0,369,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
18.0/F中層3,18.0,中層,3,4938052.0,11378.0,434.0,326,3,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
28.0/F高層3,28.0,高層,3,4991868.0,11502.0,434.0,346,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
7.0/F低層4,7.0,低層,4,4167324.0,10066.0,414.0,333,3,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
18.0/F中層4,18.0,中層,4,4359006.0,10529.0,414.0,370,3,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
28.0/F高層4,28.0,高層,4,4540752.0,10968.0,414.0,355,3,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
7.0/F低層5,7.0,低層,5,5728244.0,10453.0,548.0,293,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
18.0/F中層5,18.0,中層,5,6022520.0,10990.0,548.0,299,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
28.0/F高層5,28.0,高層,5,6315700.0,11525.0,548.0,284,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
7.0/F低層6,7.0,低層,6,5933896.0,10447.0,568.0,250,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
18.0/F中層6,18.0,中層,6,6224144.0,10958.0,568.0,250,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
28.0/F高層6,28.0,高層,6,6509280.0,11460.0,568.0,230,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
7.0/F低層7,7.0,低層,7,4629044.0,10666.0,434.0,342,3,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
18.0/F中層7,18.0,中層,7,4547886.0,10479.0,434.0,368,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
28.0/F高層7,28.0,高層,7,4623836.0,10654.0,434.0,360,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
7.0/F低層8,7.0,低層,8,4479480.0,10820.0,414.0,382,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
18.0/F中層8,18.0,中層,8,4646322.0,11223.0,414.0,372,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
28.0/F高層8,28.0,高層,8,4695174.0,11341.0,414.0,359,4,KNCW,"KING PIK HSE(Block B,Phase 1,KING SHAN COURT),32 FUNG SHING ST|瓊山苑,1期,B座(瓊碧閣),32 豐盛街"
