,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,7354864.0,15196.0,484.0,358,5,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
18.0/F中層A,18.0,中層,A,7688340.0,15885.0,484.0,326,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
28.0/F高層A,28.0,高層,A,8095868.0,16727.0,484.0,318,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
7.0/F低層B,7.0,低層,B,9164160.0,15480.0,592.0,313,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
18.0/F中層B,18.0,中層,B,9373728.0,15834.0,592.0,324,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
28.0/F高層B,28.0,高層,B,9659072.0,16316.0,592.0,300,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
7.0/F低層C,7.0,低層,C,9205008.0,15549.0,592.0,357,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
18.0/F中層C,18.0,中層,C,9442400.0,15950.0,592.0,363,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
28.0/F高層C,28.0,高層,C,9898240.0,16720.0,592.0,330,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
7.0/F低層D,7.0,低層,D,7349540.0,15185.0,484.0,376,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
18.0/F中層D,18.0,中層,D,7684952.0,15878.0,484.0,350,3,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
28.0/F高層D,28.0,高層,D,8429344.0,17416.0,484.0,349,3,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
7.0/F低層E,7.0,低層,E,4874610.000000001,11310.0,431.0,91,1,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
18.0/F中層E,18.0,中層,E,5154329.0,11959.0,431.0,92,1,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
28.0/F高層E,28.0,高層,E,7206320.0,16720.0,431.0,301,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
7.0/F低層F,7.0,低層,F,9080096.0,15338.0,592.0,352,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
18.0/F中層F,18.0,中層,F,9316304.0,15737.0,592.0,368,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
28.0/F高層F,28.0,高層,F,9622368.0,16254.0,592.0,340,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
7.0/F低層G,7.0,低層,G,9164160.0,15480.0,592.0,313,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
18.0/F中層G,18.0,中層,G,9373728.0,15834.0,592.0,324,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
28.0/F高層G,28.0,高層,G,9659072.0,16316.0,592.0,300,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
7.0/F低層H,7.0,低層,H,6625332.0,15372.0,431.0,310,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
18.0/F中層H,18.0,中層,H,6858072.0,15912.0,431.0,348,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
28.0/F高層H,28.0,高層,H,7225714.999999999,16765.0,431.0,345,4,HQB,"KORNHILL(Block 1),KING'S RD|康山花園1座,英皇道"
