,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
1.0/F低層A,1.0,低層,A,20017751.019068882,16067.0,1195.0,243,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層A,3.0,中層,A,23070922.092216153,16892.0,1310.0,241,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層A,5.0,高層,A,23415101.133610804,17144.0,1310.0,235,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
1.0/F低層B,1.0,低層,B,23864656.59591858,16968.0,1349.0,289,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層B,3.0,中層,B,24266901.51496813,17254.0,1349.0,293,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層B,5.0,高層,B,24618514.206445005,17504.0,1349.0,283,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
1.0/F低層C,1.0,低層,C,22578773.7958538,16595.0,1305.0,241,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層C,3.0,中層,C,22948850.71495427,16867.0,1305.0,241,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層C,5.0,高層,C,23293076.67279404,17120.0,1305.0,235,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
1.0/F低層C & D,1.0,低層,C & D,65609371.05170909,16018.0,2592.0,166,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層C & D,3.0,中層,C & D,66686613.1909649,16281.0,2592.0,168,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層C & D,5.0,高層,C & D,67690127.73133628,16526.0,2592.0,164,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
1.0/F低層D,1.0,低層,D,22151946.744737122,16509.0,1287.0,242,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層D,3.0,中層,D,22516919.154608615,16781.0,1287.0,242,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層D,5.0,高層,D,22853713.547541503,17032.0,1287.0,236,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
1.0/F低層E,1.0,低層,E,10339237.657841481,14167.0,700.0,288,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層E,3.0,中層,E,10502715.404390255,14391.0,700.0,286,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層E,5.0,高層,E,10657435.414516773,14603.0,700.0,279,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
1.0/F低層EF,1.0,低層,EF,25114468.99038803,17072.0,1411.0,235,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層EF,3.0,中層,EF,25526374.52678146,17352.0,1411.0,235,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層EF,5.0,高層,EF,25908858.239146788,17612.0,1411.0,229,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
1.0/F低層F,1.0,低層,F,10413499.092351532,14048.0,711.0,248,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層F,3.0,中層,F,10578063.215251734,14270.0,711.0,246,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層F,5.0,高層,F,10733731.980157332,14480.0,711.0,240,3,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
1.0/F低層G,1.0,低層,G,12243941.070915183,13800.0,851.0,284,2,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
3.0/F中層G,3.0,中層,G,12435585.365938203,14016.0,851.0,281,2,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
5.0/F高層G,5.0,高層,G,12618357.239895344,14222.0,851.0,275,2,HMW,"PAK FAI MANSION,MACDONNELL RD|百輝大廈,麥當勞道"
