,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
9.0/F低層1,9.0,低層,1,4247100,6534,650,368,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
20.0/F中層1,20.0,中層,1,4444050,6837,650,369,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
32.0/F高層1,32.0,高層,1,4627350,7119,650,332,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
9.0/F低層2,9.0,低層,2,4436900,6826,650,338,3,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
20.0/F中層2,20.0,中層,2,4660500,7170,650,354,3,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
32.0/F高層2,32.0,高層,2,4903600,7544,650,327,3,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
9.0/F低層3,9.0,低層,3,3630550,7175,506,346,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
20.0/F中層3,20.0,中層,3,3751990,7415,506,343,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
32.0/F高層3,32.0,高層,3,3962486,7831,506,324,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
9.0/F低層4,9.0,低層,4,3633586,7181,506,361,5,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
20.0/F中層4,20.0,中層,4,3734786,7381,506,302,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
32.0/F高層4,32.0,高層,4,3983738,7873,506,311,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
9.0/F低層5,9.0,低層,5,4382950,6743,650,379,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
20.0/F中層5,20.0,中層,5,4563000,7020,650,396,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
32.0/F高層5,32.0,高層,5,4836000,7440,650,389,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
9.0/F低層6,9.0,低層,6,4355000,6700,650,323,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
20.0/F中層6,20.0,中層,6,4625400,7116,650,316,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
32.0/F高層6,32.0,高層,6,4708600,7244,650,322,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
9.0/F低層7,9.0,低層,7,3588552,7092,506,333,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
20.0/F中層7,20.0,中層,7,3707462,7327,506,341,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
32.0/F高層7,32.0,高層,7,3914416,7736,506,334,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
9.0/F低層8,9.0,低層,8,3611322,7137,506,334,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
20.0/F中層8,20.0,中層,8,3732762,7377,506,339,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
32.0/F高層8,32.0,高層,8,3567300,7050,506,298,4,NTSW,"TIN FU COURT(Block M),TIN SAU RD|天富苑M座,天秀路"
