,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,20775177.006039917,15647.0,1245.0,355,4,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
9.0/F中層A,9.0,中層,A,21362038.911623713,16089.0,1245.0,354,4,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
13.0/F高層A,13.0,高層,A,25083699.367169816,18892.0,1245.0,352,3,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
5.0/F低層B,5.0,低層,B,22576528.130741544,15917.0,1330.0,332,3,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
9.0/F中層B,9.0,中層,B,23247427.03165508,16390.0,1330.0,334,3,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
13.0/F高層B,13.0,高層,B,23915489.150746576,16861.0,1330.0,321,3,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
5.0/F低層C,5.0,低層,C,12543340.580397105,5103.0,816.0,325,3,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
9.0/F中層C,9.0,中層,C,12712944.832806941,5172.0,816.0,389,4,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
13.0/F高層C,13.0,高層,C,13066901.53348834,5316.0,816.0,369,4,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
5.0/F低層D,5.0,低層,D,12621290.239195472,14089.0,840.0,144,2,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
9.0/F中層D,9.0,中層,D,12959016.580325196,14466.0,840.0,142,2,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
13.0/F高層D,13.0,高層,D,13320930.219095511,14870.0,840.0,134,2,HCB,"CHESTERFIELD MANSION,KINGSTON ST|東寧大廈,京士頓街"
