,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4.0/F低層A1,4.0,低層,A1,14826525,13665,1085,224,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層A1,8.0,中層,A1,15301755,14103,1085,226,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層A1,13.0,高層,A1,10692800,13366,800,331,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層A2,4.0,低層,A2,14900160,14608,1020,346,5,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層A2,8.0,中層,A2,15382620,15081,1020,354,5,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層A2,13.0,高層,A2,15973200,15660,1020,333,5,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層A3,4.0,低層,A3,16661885,13943,1195,264,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層A3,8.0,中層,A3,17196050,14390,1195,266,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層A3,13.0,高層,A3,17838960,14928,1195,248,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層A4,4.0,低層,A4,8985050,12655,710,327,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層A4,8.0,中層,A4,9261240,13044,710,326,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層A4,13.0,高層,A4,8126965,13433,605,362,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層A5,4.0,低層,A5,8744115,12403,705,329,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層A5,8.0,中層,A5,9014130,12786,705,329,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層A5,13.0,高層,A5,9523140,13508,705,392,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層B1,4.0,低層,B1,10798270,13414,805,342,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層B1,8.0,中層,B1,11125905,13821,805,340,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層B1,13.0,高層,B1,11542895,14339,805,320,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層B2,4.0,低層,B2,7584280,12536,605,372,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層B2,8.0,中層,B2,7776065,12853,605,377,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層B2,13.0,高層,B2,8074330,13346,605,360,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層C1,4.0,低層,C1,10803100,13420,805,366,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層C1,8.0,中層,C1,11152470,13854,805,372,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層C1,13.0,高層,C1,11725630,14566,805,362,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層C2,4.0,低層,C2,9301750,12830,725,364,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層C2,8.0,中層,C2,9585950,13222,725,362,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層C2,13.0,高層,C2,9945550,13718,725,342,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層C3,4.0,低層,C3,10282640,13016,790,346,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層C3,8.0,中層,C3,10596270,13413,790,344,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層C3,13.0,高層,C3,10993640,13916,790,324,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層C4,4.0,低層,C4,9104095,12733,715,352,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層C4,8.0,中層,C4,9433710,13194,715,387,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層C4,13.0,高層,C4,9755460,13644,715,341,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層C5,4.0,低層,C5,9526020,12873,740,360,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層C5,8.0,中層,C5,9816840,13266,740,358,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層C5,13.0,高層,C5,10185360,13764,740,338,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層D1,4.0,低層,D1,10798270,13414,805,342,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層D1,8.0,中層,D1,11125905,13821,805,340,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層D1,13.0,高層,D1,11542895,14339,805,320,4,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
4.0/F低層D2,4.0,低層,D2,7598800,12560,605,347,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
8.0/F中層D2,8.0,中層,D2,7835355,12951,605,350,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
13.0/F高層D2,13.0,高層,D2,8133620,13444,605,333,3,HCB,"GREAT GEORGE BLDG,GREAT GEORGE ST|華登大廈,記利佐治街"
