,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,18820007.80572048,9555.0,1145.0,288,4,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
7.0/F中層A,7.0,中層,A,20605905.891410694,16828.0,1145.0,306,3,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
11.0/F高層A,11.0,高層,A,19891497.52275993,10099.0,1145.0,290,4,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
3.0/F低層B,3.0,低層,B,20793992.971558377,9407.0,1285.0,224,3,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
7.0/F中層B,7.0,中層,B,21375349.42436159,9670.0,1285.0,230,3,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
11.0/F高層B,11.0,高層,B,21969968.762019634,9939.0,1285.0,228,3,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
3.0/F低層C,3.0,低層,C,15963455.922736945,8838.0,1050.0,191,3,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
7.0/F中層C,7.0,中層,C,16407788.368651548,9084.0,1050.0,195,3,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
11.0/F高層C,11.0,高層,C,16862958.19129578,9336.0,1050.0,193,3,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
3.0/F低層D,3.0,低層,D,12839281.04218018,8530.0,875.0,365,4,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
7.0/F中層D,7.0,中層,D,13266755.34651537,8814.0,875.0,324,3,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
11.0/F高層D,11.0,高層,D,14411543.575054709,9156.0,915.0,370,4,HCB,"RIVIERA MANSION,PATERSON ST|海濱大廈,百德新街"
