,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,5813992,10847,536,331,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層A,16.0,中層,A,6098072,11377,536,319,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層A,25.0,高層,A,6874200,12825,536,308,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層B,6.0,低層,B,5544312,10914,508,333,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層B,16.0,中層,B,5901944,11618,508,340,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層B,25.0,高層,B,6639052,13069,508,327,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層C,6.0,低層,C,7437398,11513,646,404,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層C,16.0,中層,C,7965180,12330,646,340,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層C,25.0,高層,C,8284304,12824,646,330,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層D,6.0,低層,D,7190626,11131,646,352,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層D,16.0,中層,D,7565306,11711,646,366,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層D,25.0,高層,D,7897996,12226,646,339,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層E,6.0,低層,E,5448744,10811,504,372,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層E,16.0,中層,E,5712336,11334,504,360,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層E,25.0,高層,E,5949720,11805,504,320,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層F,6.0,低層,F,8398158,11094,757,385,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層F,16.0,中層,F,8884152,11736,757,383,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層F,25.0,高層,F,9418594,12442,757,345,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層G,6.0,低層,G,5866560,11640,504,351,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層G,16.0,中層,G,6191136,12284,504,354,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層G,25.0,高層,G,6584256,13064,504,346,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層H,6.0,低層,H,6953544,10764,646,391,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層H,16.0,中層,H,7316596,11326,646,412,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層H,25.0,高層,H,7615048,11788,646,344,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層J,6.0,低層,J,6944500,10750,646,371,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層J,16.0,中層,J,7114398,11013,646,349,3,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層J,25.0,高層,J,7726806,11961,646,372,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
6.0/F低層K,6.0,低層,K,5560568,10946,508,370,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
16.0/F中層K,16.0,中層,K,5829300,11475,508,353,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
25.0/F高層K,25.0,高層,K,6550152,12894,508,327,4,HCW,"GREENWOOD TERR(Block 6),TAI MAN ST|康翠臺6座,泰民街"
