,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,17713832.0,16664.0,1063,280,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
8.0/F中層A,8.0,中層,A,18354821.0,17267.0,1063,298,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
12.0/F高層A,12.0,高層,A,18833171.0,17717.0,1063,298,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
3.0/F低層B,3.0,低層,B,17856160.0,16688.0,1070,239,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
8.0/F中層B,8.0,中層,B,18909993.0,17301.0,1093,251,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
12.0/F高層B,12.0,高層,B,18978590.0,17737.0,1070,254,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
3.0/F低層C,3.0,低層,C,17080646.0,16519.0,1034,284,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
8.0/F中層C,8.0,中層,C,17701046.0,17119.0,1034,302,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
12.0/F高層C,12.0,高層,C,17841468.0,17526.0,1018,313,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
3.0/F低層D,3.0,低層,D,17241642.0,16854.0,1023,283,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
8.0/F中層D,8.0,中層,D,17940351.0,17537.0,1023,322,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
12.0/F高層D,12.0,高層,D,16010553.0,17849.0,897,270,3,HHV,"GREEN VALLEY MANSION,WONG NAI CHUNG RD|翠谷樓,黃泥涌道"
