,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5/F低層A,5,低層,A,4285356.0,11838.0,362.0,145,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
12/F中層A,12,中層,A,4363910.0,12055.0,362.0,133,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
18/F高層A,18,高層,A,5529188.0,15274.0,362.0,131,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
5/F低層B,5,低層,B,4082026.0000000005,12077.0,338.0,195,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
12/F中層B,12,中層,B,4156724.0,12298.0,338.0,180,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
18/F高層B,18,高層,B,4221620.0,12490.0,338.0,165,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
5/F低層C,5,低層,C,3570480.0,12528.0,285.0,190,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
12/F中層C,12,中層,C,4559145.0,15997.0,285.0,183,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
18/F高層C,18,高層,C,4632960.0,16256.0,285.0,198,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
5/F低層D,5,低層,D,4479630.0,15718.0,285.0,162,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
12/F中層D,12,中層,D,4566270.0,16022.0,285.0,179,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
18/F高層D,18,高層,D,4640370.0,16282.0,285.0,194,2,HKT,"NAM CHEONG BLDG,HILL RD|南昌大廈,山道"
