,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,6647600.0,16619.0,400,342,5,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層A,12.0,中層,A,6935200.0,17338.0,400,310,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層A,20.0,高層,A,7273200.0,18183.0,400,351,5,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
5.0/F低層A-C,5.0,低層,A-C,16720066.935249552,11343.0,1135,121,1,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層A-C,12.0,中層,A-C,17404022.772149473,11807.0,1135,110,1,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層A-C,20.0,高層,A-C,18186739.473429337,12338.0,1135,98,1,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
5.0/F低層B,5.0,低層,B,7567110.0,18234.0,415,336,5,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層B,12.0,中層,B,7865079.999999999,18952.0,415,323,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層B,20.0,高層,B,8251030.0,19882.0,415,321,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
5.0/F低層C,5.0,低層,C,5364800.0,16765.0,320,329,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層C,12.0,中層,C,5556480.0,17364.0,320,341,3,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層C,20.0,高層,C,5904000.0,18450.0,320,360,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
5.0/F低層D,5.0,低層,D,5543040.0,17322.0,320,311,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層D,12.0,中層,D,5788480.0,18089.0,320,343,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層D,20.0,高層,D,6038720.0,18871.0,320,337,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
5.0/F低層E,5.0,低層,E,5592000.0,17475.0,320,273,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層E,12.0,中層,E,5844160.0,18263.0,320,301,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層E,20.0,高層,E,6127040.0,19147.0,320,301,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
5.0/F低層F,5.0,低層,F,5568000.0,17400.0,320,350,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層F,12.0,中層,F,5798720.0,18121.0,320,320,3,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層F,20.0,高層,F,6098240.0,19057.0,320,383,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
5.0/F低層G,5.0,低層,G,7463360.0,17984.0,415,289,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層G,12.0,中層,G,7801170.0,18798.0,415,320,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層G,20.0,高層,G,8192099.999999999,19740.0,415,318,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
5.0/F低層H,5.0,低層,H,6656800.0,16642.0,400,252,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
12.0/F中層H,12.0,中層,H,6952400.000000001,17381.0,400,280,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
20.0/F高層H,20.0,高層,H,7286400.0,18216.0,400,280,4,HKT,"WAH PO BLDG,KENNEDY TOWN NEW PRAYA|華寶大廈,堅彌地城新海旁"
