,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,11774226,14829,794,356,5,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
16.0/F中層A,16.0,中層,A,12625394,15901,794,311,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
24.0/F高層A,24.0,高層,A,12900118,16247,794,301,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
7.0/F低層B,7.0,低層,B,12056096,15184,794,361,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
16.0/F中層B,16.0,中層,B,12705588,16002,794,357,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
24.0/F高層B,24.0,高層,B,13059712,16448,794,356,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
7.0/F低層C,7.0,低層,C,11842092,15124,783,333,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
16.0/F中層C,16.0,中層,C,12492765,15955,783,350,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
24.0/F高層C,24.0,高層,C,13168494,16818,783,338,3,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
7.0/F低層D,7.0,低層,D,12675488,15904,797,359,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
16.0/F中層D,16.0,中層,D,12229677,15619,783,358,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
24.0/F高層D,24.0,高層,D,12761564,16012,797,358,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
7.0/F低層E,7.0,低層,E,11774226,14829,794,356,5,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
16.0/F中層E,16.0,中層,E,12625394,15901,794,311,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
24.0/F高層E,24.0,高層,E,12900118,16247,794,301,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
7.0/F低層F,7.0,低層,F,10591960,13340,794,334,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
16.0/F中層F,16.0,中層,F,11230336,14144,794,384,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
24.0/F高層F,24.0,高層,F,11777402,14833,794,337,3,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
7.0/F低層G,7.0,低層,G,11904732,15204,783,331,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
16.0/F中層G,16.0,中層,G,12564801,16047,783,350,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
24.0/F高層G,24.0,高層,G,12785607,16329,783,337,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
7.0/F低層H,7.0,低層,H,11655738,14886,783,355,5,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
16.0/F中層H,16.0,中層,H,12496680,15960,783,311,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
24.0/F高層H,24.0,高層,H,12666591,16177,783,300,4,HNP,"CITY GDN(Block 2),ELECTRIC RD|城市花園2座,電氣道"
