,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4.0/F低層A,4.0,低層,A,6377100.0,14660.0,435,355,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
13.0/F中層A,13.0,中層,A,6767730.0,15558.0,435,394,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
22.0/F高層A,22.0,高層,A,7186200.0,16520.0,435,321,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
4.0/F低層B,4.0,低層,B,8450058.0,14519.0,582,367,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
13.0/F中層B,13.0,中層,B,8948250.0,15375.0,582,362,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
22.0/F高層B,22.0,高層,B,9417924.0,16182.0,582,344,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
4.0/F低層C,4.0,低層,C,8493708.0,14594.0,582,343,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
13.0/F中層C,13.0,中層,C,9001794.0,15467.0,582,353,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
22.0/F高層C,22.0,高層,C,9602418.0,16499.0,582,346,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
4.0/F低層D,4.0,低層,D,6392760.0,14696.0,435,400,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
13.0/F中層D,13.0,中層,D,6747720.0,15512.0,435,351,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
22.0/F高層D,22.0,高層,D,7222740.0,16604.0,435,335,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
4.0/F低層E,4.0,低層,E,6136545.0,14107.0,435,393,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
13.0/F中層E,13.0,中層,E,6443220.0,14812.0,435,346,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
22.0/F高層E,22.0,高層,E,6819495.0,15677.0,435,349,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
4.0/F低層F,4.0,低層,F,8440164.0,14502.0,582,383,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
13.0/F中層F,13.0,中層,F,8944176.0,15368.0,582,397,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
22.0/F高層F,22.0,高層,F,9526758.0,16369.0,582,395,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
4.0/F低層G,4.0,低層,G,8493708.0,14594.0,582,343,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
13.0/F中層G,13.0,中層,G,9001794.0,15467.0,582,353,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
22.0/F高層G,22.0,高層,G,9602418.0,16499.0,582,346,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
4.0/F低層H,4.0,低層,H,6315765.0,14519.0,435,385,4,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
13.0/F中層H,13.0,中層,H,6687690.0,15374.0,435,334,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
22.0/F高層H,22.0,高層,H,7089630.0,16298.0,435,329,3,HPFL,"FU ON YUEN(Block 3,CHI FU FA YUEN),CHI FU RD|置富花園,3座(富安苑),置富道"
