,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,4936460.0,14519.0,340.0,330,3,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
12.0/F中層A,12.0,中層,A,5040840.0,14826.0,340.0,359,4,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
18.0/F高層A,18.0,高層,A,5180240.0,15236.0,340.0,347,4,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
7.0/F低層B,7.0,低層,B,4001460.0,11769.0,340.0,199,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
12.0/F中層B,12.0,中層,B,4094280.0,12042.0,340.0,205,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
18.0/F高層B,18.0,高層,B,4208860.0,12379.0,340.0,190,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
7.0/F低層C,7.0,低層,C,4960260.0,14589.0,340.0,266,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
12.0/F中層C,12.0,中層,C,5073480.0,14922.0,340.0,266,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
18.0/F高層C,18.0,高層,C,5209480.0,15322.0,340.0,266,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
7.0/F低層D,7.0,低層,D,4461140.0,13121.0,340.0,211,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
12.0/F中層D,12.0,中層,D,4576740.0,13461.0,340.0,218,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
18.0/F高層D,18.0,高層,D,4730080.0,13912.0,340.0,215,2,HSKW,"KAM KEY MANSION,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街"
