,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,4357410,10110,431,308,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層A,14.0,中層,A,4409992,10232,431,327,5,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層A,23.0,高層,A,4503950,10450,431,278,5,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層B,5.0,低層,B,5020048,10372,484,335,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層B,14.0,中層,B,5197676,10739,484,329,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層B,23.0,高層,B,5311900,10975,484,314,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層C,5.0,低層,C,5809888,9814,592,391,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層C,14.0,中層,C,5858432,9896,592,380,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層C,23.0,高層,C,5969136,10083,592,362,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層D,5.0,低層,D,4957408,8374,592,382,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層D,14.0,中層,D,5091792,8601,592,357,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層D,23.0,高層,D,5600912,9461,592,338,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層E,5.0,低層,E,4966808,10262,484,358,5,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層E,14.0,中層,E,5273664,10896,484,357,5,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層E,23.0,高層,E,5389340,11135,484,340,5,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層F,5.0,低層,F,4356117,10107,431,318,5,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層F,14.0,中層,F,4450937,10327,431,289,5,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層F,23.0,高層,F,4547912,10552,431,244,5,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層G,5.0,低層,G,5707472,9641,592,406,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層G,14.0,中層,G,5811664,9817,592,341,3,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層G,23.0,高層,G,5917040,9995,592,338,3,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層H,5.0,低層,H,5291888,8939,592,373,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層H,14.0,中層,H,5534608,9349,592,372,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層H,23.0,高層,H,5655376,9553,592,357,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層J,5.0,低層,J,5422720,9160,592,345,3,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層J,14.0,中層,J,5902832,9971,592,378,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層J,23.0,高層,J,5960256,10068,592,368,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
5.0/F低層K,5.0,低層,K,5823504,9837,592,377,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
14.0/F中層K,14.0,中層,K,5927104,10012,592,383,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
23.0/F高層K,23.0,高層,K,6028928,10184,592,368,4,HSSW,"HARMONY GDN(Block 2),SIU SAI WAN RD|富欣花園2座,小西灣道"
