,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7/F低層A,7,低層,A,8009056.0,16412.0,488.0,370,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
16/F中層A,16,中層,A,8573672.0,17569.0,488.0,376,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
25/F高層A,25,高層,A,9114376.0,18677.0,488.0,381,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
7/F低層B,7,低層,B,5709143.0,17897.0,319.0,403,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
16/F中層B,16,中層,B,6056853.0,18987.0,319.0,331,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
25/F高層B,25,高層,B,6440291.0,20189.0,319.0,405,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
7/F低層C,7,低層,C,5449158.0,17082.0,319.0,328,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
16/F中層C,16,中層,C,5826854.0,18266.0,319.0,325,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
25/F高層C,25,高層,C,6388932.0,20028.0,319.0,335,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
7/F低層D,7,低層,D,6282452.0,16798.0,374.0,328,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
16/F中層D,16,中層,D,6586140.0,17610.0,374.0,338,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
25/F高層D,25,高層,D,6702454.0,17921.0,374.0,331,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
7/F低層E,7,低層,E,5972406.0,15969.0,374.0,324,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
16/F中層E,16,中層,E,6363236.0,17014.0,374.0,389,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
25/F高層E,25,高層,E,6542008.0,17492.0,374.0,369,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
7/F低層F,7,低層,F,5661612.0,17748.0,319.0,338,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
16/F中層F,16,中層,F,6059086.0,18994.0,319.0,337,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
25/F高層F,25,高層,F,6452732.0,20228.0,319.0,319,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
7/F低層G,7,低層,G,5755717.0,18043.0,319.0,333,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
16/F中層G,16,中層,G,6159890.0,19310.0,319.0,344,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
25/F高層G,25,高層,G,6568210.0,20590.0,319.0,332,4,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
7/F低層H,7,低層,H,7712840.0,15805.0,488.0,333,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
16/F中層H,16,中層,H,8233048.0,16871.0,488.0,355,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
25/F高層H,25,高層,H,8759600.0,17950.0,488.0,369,3,HSW,"KO NGA COURT,HIGH ST|高雅閣,高街"
