,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,8201160,18639,440,173,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
12.0/F中層A,12.0,中層,A,8417640,19131,440,170,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
17.0/F高層A,17.0,高層,A,8676360,19719,440,158,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
7.0/F低層B,7.0,低層,B,7510494,16802,447,113,1,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
12.0/F中層B,12.0,中層,B,7763496,17368,447,150,1,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
17.0/F高層B,17.0,高層,B,8016945,17935,447,113,1,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
7.0/F低層C,7.0,低層,C,7673575,16865,455,169,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
12.0/F中層C,12.0,中層,C,7928830,17426,455,173,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
17.0/F高層C,17.0,高層,C,8184540,17988,455,160,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
7.0/F低層D,7.0,低層,D,7213686,16138,447,262,3,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
12.0/F中層D,12.0,中層,D,7472499,16717,447,267,3,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
17.0/F高層D,17.0,高層,D,7721031,17273,447,259,3,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
7.0/F低層E,7.0,低層,E,7510386,17147,438,224,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
12.0/F中層E,12.0,中層,E,7732452,17654,438,177,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
17.0/F高層E,17.0,高層,E,7979484,18218,438,164,2,HSW,"MANDARIN BLDG,BONHAM STRAND|文華大廈,文咸東街"
