,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層A,8.0,低層,A,8079766.0,16763.0,482,387,4,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
14.0/F中層A,14.0,中層,A,8364000.0,17425.0,480,398,4,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
19.0/F高層A,19.0,高層,A,8201712.0,17016.0,482,388,4,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
8.0/F低層B,8.0,低層,B,8604933.0,17597.0,489,326,3,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
14.0/F中層B,14.0,中層,B,8961903.0,18327.0,489,354,3,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
19.0/F高層B,19.0,高層,B,9251880.0,18920.0,489,345,3,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
8.0/F低層C,8.0,低層,C,8263611.000000001,16899.0,489,326,3,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
14.0/F中層C,14.0,中層,C,8569725.0,17525.0,489,397,3,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
19.0/F高層C,19.0,高層,C,8872416.0,18144.0,489,330,3,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
8.0/F低層D,8.0,低層,D,9010990.0,18695.0,482,351,3,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
14.0/F中層D,14.0,中層,D,9274644.0,19242.0,482,393,4,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
19.0/F高層D,19.0,高層,D,9496800.0,19785.0,480,380,4,HWC,"NEWMAN HSE,JOHNSTON RD|利文樓,莊士敦道"
