,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5/F低層1,5,低層,1,4526028.0,9671.0,468.0,213,2,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層1,8,中層,1,3377220.0,9933.0,340.0,132,2,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層1,11,高層,1,3443860.0,10129.0,340.0,130,2,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層10,5,低層,10,3941685.0000000005,7963.0,495.0,82,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層10,8,中層,10,4022370.0,8126.0,495.0,85,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層10,11,高層,10,4103549.9999999995,8290.0,495.0,88,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層2,5,低層,2,4013352.0,7963.0,504.0,83,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層2,8,中層,2,4185405.0,8127.0,515.0,85,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層2,11,高層,2,4269865.0,8291.0,515.0,88,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層3,5,低層,3,5309856.0,8592.0,618.0,154,2,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層3,8,中層,3,5419860.0,8770.0,618.0,161,2,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層3,11,高層,3,5120240.0,8828.0,580.0,178,2,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層4,5,低層,4,5149794.0,8333.0,618.0,72,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層4,8,中層,4,5329375.0,8527.0,625.0,74,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層4,11,高層,4,5436875.0,8699.0,625.0,77,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層5,5,低層,5,,,2363.0,,,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層5,8,中層,5,4984640.0,8420.0,592.0,77,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層5,11,高層,5,5084687.999999999,8589.0,592.0,80,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層6,5,低層,6,3973537.0,7963.0,499.0,125,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層6,8,中層,6,4055373.0,8127.0,499.0,129,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層6,11,高層,6,4136710.0,8290.0,499.0,134,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層7,5,低層,7,5149794.0,8333.0,618.0,72,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層7,8,中層,7,5067600.0,8446.0,600.0,76,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層7,11,高層,7,5084687.999999999,8589.0,592.0,80,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層8,5,低層,8,5801079.999999999,8531.0,680.0,68,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層8,8,中層,8,5920080.0,8706.0,680.0,71,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層8,11,高層,8,4688502.0,8463.0,554.0,84,1,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
5/F低層9,5,低層,9,5452356.0,9986.0,546.0,302,3,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
8/F中層9,8,中層,9,5569300.0,10126.0,550.0,254,3,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
11/F高層9,11,高層,9,5403750.000000001,9825.0,550.0,338,3,HWC,"WAI TAK BLDG,LOCKHART RD|偉德大廈,駱克道"
