,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
17.0/F低層A,17.0,低層,A,7971949,10313,773,345,4,ISL
33.0/F中層A,33.0,中層,A,8560202,11074,773,327,3,ISL
60.0/F高層A,60.0,高層,A,9571286,12382,773,330,4,ISL
17.0/F低層B,17.0,低層,B,10696251,11793,907,328,4,ISL
33.0/F中層B,33.0,中層,B,11184217,12331,907,335,4,ISL
60.0/F高層B,60.0,高層,B,12644487,13941,907,349,5,ISL
17.0/F低層C,17.0,低層,C,10657645,11855,899,337,4,ISL
33.0/F中層C,33.0,中層,C,11002861,12239,899,321,4,ISL
60.0/F高層C,60.0,高層,C,23615658,16434,1437,54,2,ISL
17.0/F低層D,17.0,低層,D,8870638,11626,763,385,3,ISL
33.0/F中層D,33.0,中層,D,9738932,12764,763,393,4,ISL
60.0/F高層D,60.0,高層,D,23706910,16754,1415,80,3,ISL
17.0/F低層E,17.0,低層,E,8796480,11424,770,337,3,ISL
33.0/F中層E,33.0,中層,E,9488710,12323,770,352,3,ISL
60.0/F高層E,60.0,高層,E,23012610,16321,1410,83,2,ISL
17.0/F低層F,17.0,低層,F,6998070,13105,534,389,3,ISL
33.0/F中層F,33.0,中層,F,7149192,13388,534,359,3,ISL
60.0/F高層F,60.0,高層,F,7650084,14326,534,356,4,ISL
17.0/F低層G,17.0,低層,G,5764451,12187,473,383,3,ISL
33.0/F中層G,33.0,中層,G,6123458,12946,473,429,3,ISL
60.0/F高層G,60.0,高層,G,6757278,14286,473,368,4,ISL
17.0/F低層H,17.0,低層,H,6777394,12038,563,380,4,ISL
33.0/F中層H,33.0,中層,H,7218786,12822,563,324,3,ISL
60.0/F高層H,60.0,高層,H,7789668,13836,563,303,4,ISL
17.0/F低層I,17.0,低層,I,7136253,11133,641,363,4,ISL
33.0/F中層I,33.0,中層,I,7543288,11768,641,345,4,ISL
60.0/F高層I,60.0,高層,I,8543248,13328,641,304,4,ISL
