,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
9.0/F低層A,9.0,低層,A,14893632,10816,1377,272,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
22.0/F中層A,22.0,中層,A,15785928,11464,1377,272,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
33.0/F高層A,33.0,高層,A,16940000,12100,1400,237,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
9.0/F低層B,9.0,低層,B,15487940,10907,1420,266,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
22.0/F中層B,22.0,中層,B,16412360,11558,1420,266,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
33.0/F高層B,33.0,高層,B,17600271,12197,1443,231,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
9.0/F低層C,9.0,低層,C,7558434,10767,702,324,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
22.0/F中層C,22.0,中層,C,7889076,11238,702,360,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
33.0/F高層C,33.0,高層,C,8296938,11819,702,338,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
9.0/F低層D,9.0,低層,D,12744920,10987,1160,351,3,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
22.0/F中層D,22.0,中層,D,12684600,10935,1160,348,4,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
33.0/F高層D,33.0,高層,D,14927388,12502,1194,323,3,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
9.0/F低層E,9.0,低層,E,11223540,10844,1035,411,3,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
22.0/F中層E,22.0,中層,E,11254590,10874,1035,364,3,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
33.0/F高層E,33.0,高層,E,12329072,11501,1072,323,3,ISL,"THE VISIONARY(Block 1),YING HONG ST|昇薈1座,迎康街"
