,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4.0/F低層A,4.0,低層,A,7133718,11469,622,73,1,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
8.0/F中層A,8.0,中層,A,5555704,8932,622,186,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
11.0/F高層A,11.0,高層,A,5666420,9110,622,195,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
4.0/F低層B,4.0,低層,B,6706416,9014,744,191,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
8.0/F中層B,8.0,中層,B,6886464,9256,744,203,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
11.0/F高層B,11.0,高層,B,7021872,9438,744,212,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
4.0/F低層C,4.0,低層,C,7864770,9510,827,281,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
8.0/F中層C,8.0,中層,C,8068212,9756,827,289,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
11.0/F高層C,11.0,高層,C,8221207,9941,827,295,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
4.0/F低層D,4.0,低層,D,6847065,9045,757,193,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
8.0/F中層D,8.0,中層,D,7031016,9288,757,205,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
11.0/F高層D,11.0,高層,D,7169547,9471,757,214,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
4.0/F低層E,4.0,低層,E,5500116,10827,508,225,2,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
8.0/F中層E,8.0,中層,E,5636260,11095,508,222,2,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
11.0/F高層E,11.0,高層,E,5742940,11305,508,213,2,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
4.0/F低層G,4.0,低層,G,6604807,11329,583,77,1,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
8.0/F中層G,8.0,中層,G,5139728,8816,583,178,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
11.0/F高層G,11.0,高層,G,5243502,8994,583,187,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
4.0/F低層H,4.0,低層,H,5349822,8601,622,207,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
8.0/F中層H,8.0,中層,H,5496614,8837,622,221,3,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
11.0/F高層H,11.0,高層,H,4451730,8290,537,123,1,KCSW,"CRONIN GDN(Block 6),SHUN NING RD|樂年花園6座,順寧道"
