,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,3067680,14608,210,336,5,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
12.0/F中層A,12.0,中層,A,3178980,15138,210,308,4,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
19.0/F高層A,19.0,高層,A,3288600,15660,210,309,4,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
6.0/F低層B,6.0,低層,B,2533785,16347,155,340,3,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
12.0/F中層B,12.0,中層,B,2632520,16984,155,352,3,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
19.0/F高層B,19.0,高層,B,2661505,17171,155,405,3,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
6.0/F低層C,6.0,低層,C,3237330,20886,155,115,1,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
12.0/F中層C,12.0,中層,C,2518905,16251,155,367,3,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
19.0/F高層C,19.0,高層,C,2692505,17371,155,386,4,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
6.0/F低層D,6.0,低層,D,3371340,16054,210,371,4,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
12.0/F中層D,12.0,中層,D,3256050,15505,210,352,4,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
19.0/F高層D,19.0,高層,D,3402210,16201,210,353,4,KCSW,"LUN MAY BLDG,CASTLE PEAK RD|倫美大廈,青山道"
