,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3/F低層1,3,低層,1,3798795.0,13915.0,273.0,351,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
7/F中層1,7,中層,1,3898713.0,14281.0,273.0,361,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
11/F高層1,11,高層,1,3996993.0,14641.0,273.0,349,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
3/F低層2,3,低層,2,3665480.0,13091.0,280.0,357,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
7/F中層2,7,中層,2,3755920.0,13414.0,280.0,369,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
11/F高層2,11,高層,2,3849160.0,13747.0,280.0,356,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
3/F低層3,3,低層,3,3677199.0,13569.0,271.0,325,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
7/F中層3,7,中層,3,3867639.9999999995,13813.0,280.0,343,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
11/F高層3,11,高層,3,3327624.0,14724.0,226.0,357,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
3/F低層4,3,低層,4,3529151.9999999995,13368.0,264.0,330,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
7/F中層4,7,中層,4,3658776.0,13859.0,264.0,359,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
11/F高層4,11,高層,4,3750383.9999999995,14206.0,264.0,343,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
3/F低層5,3,低層,5,3821100.0,14100.0,271.0,354,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
7/F中層5,7,中層,5,3836005.0,14155.0,271.0,422,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
11/F高層5,11,高層,5,3974757.0,14667.0,271.0,357,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
3/F低層6,3,低層,6,3537600.0,13400.0,264.0,336,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
7/F中層6,7,中層,6,3737448.0,14157.0,264.0,371,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
11/F高層6,11,高層,6,3830904.0,14511.0,264.0,358,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
3/F低層7,3,低層,7,3649008.0,13822.0,264.0,330,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
7/F中層7,7,中層,7,3727416.0,14119.0,264.0,365,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
11/F高層7,11,高層,7,3819024.0,14466.0,264.0,349,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
3/F低層8,3,低層,8,3732298.0,13474.0,277.0,406,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
7/F中層8,7,中層,8,3771632.0,13616.0,277.0,383,3,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
11/F高層8,11,高層,8,3923981.9999999995,14166.0,277.0,403,4,KCSW,"MERLIN CTR(Block B),SHUN NING RD|美寧中心B座,順寧道"
