,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層1,3.0,低層,1,4489335,13401,335,326,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層1,6.0,中層,1,4576100,13660,335,334,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層1,9.0,高層,1,4554325,13595,335,341,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層10,3.0,低層,10,4309500,13260,325,355,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層10,6.0,中層,10,4391725,13513,325,365,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層10,9.0,高層,10,4435925,13649,325,378,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層2,3.0,低層,2,4460525,13315,335,366,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層2,6.0,中層,2,4546955,13573,335,375,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層2,9.0,高層,2,4536905,13543,335,385,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層3,3.0,低層,3,4428270,13419,330,372,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層3,6.0,中層,3,4485360,13592,330,374,3,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層3,9.0,高層,3,4505160,13652,330,390,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層4,3.0,低層,4,4437510,13447,330,326,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層4,6.0,中層,4,4522980,13706,330,334,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層4,9.0,高層,4,4499880,13636,330,341,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層5,3.0,低層,5,4257230,13733,310,358,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層5,6.0,中層,5,4338140,13994,310,366,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層5,9.0,高層,5,4417500,14250,310,370,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層6,3.0,低層,6,4934690,13337,370,360,3,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層6,6.0,中層,6,4944680,13364,370,389,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層6,9.0,高層,6,5037920,13616,370,395,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層7,3.0,低層,7,4390650,13305,330,341,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層7,6.0,中層,7,4431900,13430,330,343,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層7,9.0,高層,7,4519020,13694,330,348,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層8,3.0,低層,8,4437510,13447,330,326,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層8,6.0,中層,8,4522980,13706,330,334,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層8,9.0,高層,8,4499880,13636,330,341,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
3.0/F低層9,3.0,低層,9,4352400,13392,325,346,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
6.0/F中層9,6.0,中層,9,4435600,13648,325,356,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
9.0/F高層9,9.0,高層,9,4478825,13781,325,363,4,KCSW,"SUN HO HSE,SAI YEUNG CHOI ST N|新豪大廈,西洋菜北街"
