,final_address,lowZone_value,lowZone_npsf_min,lowZone_nfa_min,midZone_value,midZone_npsf_min,midZone_nfa_min,highZone_value,highZone_npsf_max,highZone_nfa_max,oneSixth_floor,middle_floor,fifthSixth_floor,unit_list,noStorey,noFlat,op_date,bldgAge,est_name_en,est_name_ch
0,"CANAAN BLDG,TUNG CHAU ST|迦南大廈,通州街",3276780.0,12603.0,260.0,3365180.0,12943.0,260.0,3448120.0,13262.0,405.0,4.0,8.0,12.0,"['A', 'B', 'C']",13,39,1986/04,34,blank,blank
1,"WING NING BLDG,CHEUNG FAT ST|永寧大廈,長發街",3562440.0,12723.0,280.0,3928155.0,13783.0,280.0,4419800.0,15785.0,285.0,5.0,12.0,20.0,"['A', 'B', 'C', 'D']",24,96,1989/06,31,blank,blank
2,"CHEUNG HONG MANS,CHEUNG SHA WAN RD|長康大廈,長沙灣道",,,,,,,,,,3.0,8.0,12.0,"['A', 'B', 'C', 'D', 'E', 'F']",14,84,1981/08,39,blank,blank
3,"SUNLIGHT BLDG,SHUN NING RD|日輝大廈,順寧道",,,,,,,,,,5.0,9.0,13.0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",13,104,1992/03,28,blank,blank
4,"FLORENCE PLAZA,CHEUNG WAH ST|富華廣場,昌華街",,,347.0,,,347.0,,,546.0,9.0,20.0,31.0,"['A', 'B', 'C', 'D', 'E', 'F']",33,198,1997/07,23,blank,blank
5,"PO WING BLDG(Block A),YEE KUK ST|寶榮大廈A座,醫局街",,,,,,,,,,5.0,8.0,10.0,"['1', '2', '3', '4', '6']",10,50,1982/03,38,PO WING BLDG,寶榮大廈
6,"KAM YUEN BLDG,BOUNDARY ST|金椽樓,界限街",,,350.0,,,350.0,,,385.0,4.0,6.0,9.0,"['A', 'B', 'C', 'D', 'E']",10,50,1976/05,44,blank,blank
7,"YUN FAT BLDG,UN CHAU ST|潤發大廈,元州街",5380088.0,12905.0,382.0,5596300.0,13254.0,382.0,6313784.0,15133.0,424.0,3.0,7.0,11.0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",13,104,1989/04,31,blank,blank
8,"HUNG YU MANS(Block B),CASTLE PEAK RD|鴻裕大廈B座,青山道",3752200.0,9964.0,365.0,3819360.0,9902.0,365.0,8336820.0,11742.0,710.0,5.0,8.0,10.0,"['1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '3', '4', '5', '6', '6-7', '67', '7', '8', '9']",10,250,1975/02,45,HUNG YU MANS,鴻裕大廈
9,"RICHVIEW MANS,CASTLE PEAK RD|豐裕閣,青山道",3727080.0,14572.0,255.0,3797715.0,14868.0,255.0,4114800.0,15240.0,270.0,7.0,10.0,12.0,"['A', 'B']",10,20,1994/05,26,blank,blank
