,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,5818932,15036,387,166,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
8.0/F中層A,8.0,中層,A,6025203,15569,387,169,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
13.0/F高層A,13.0,高層,A,6218703,16069,387,157,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
3.0/F低層B,3.0,低層,B,8271112,16949,488,259,3,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
8.0/F中層B,8.0,中層,B,8508768,17436,488,251,3,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
13.0/F高層B,13.0,高層,B,8776192,17984,488,234,3,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
3.0/F低層C,3.0,低層,C,8013600,16695,480,216,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
8.0/F中層C,8.0,中層,C,8250240,17188,480,213,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
13.0/F高層C,13.0,高層,C,8515680,17741,480,201,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
3.0/F低層D,3.0,低層,D,7785120,16219,480,303,3,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
8.0/F中層D,8.0,中層,D,7979520,16624,480,334,3,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
13.0/F高層D,13.0,高層,D,8282400,17255,480,278,3,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
3.0/F低層E,3.0,低層,E,8014424,16423,488,165,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
8.0/F中層E,8.0,中層,E,8249152,16904,488,165,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
13.0/F高層E,13.0,高層,E,8516088,17451,488,155,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
3.0/F低層F,3.0,低層,F,6606477,17071,387,138,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
8.0/F中層F,8.0,中層,F,6794946,17558,387,138,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
13.0/F高層F,13.0,高層,F,7015923,18129,387,128,2,KHH,"HUNG HOM GDNS(Block 2),TSING CHAU ST|紅磡花園2座,青州街"
