,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4/F低層1,4,低層,1,3807498.0,10403.0,366.0,272,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
8/F中層1,8,中層,1,3901560.0,10660.0,366.0,271,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
13/F高層1,13,高層,1,4020144.0,10984.0,366.0,260,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
4/F低層2,4,低層,2,3758740.0,10588.0,355.0,233,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
8/F中層2,8,中層,2,4068280.0,10706.0,380.0,233,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
13/F高層2,13,高層,2,4190640.0000000005,11028.0,380.0,224,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
4/F低層3,4,低層,3,3842520.0000000005,10824.0,355.0,317,4,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
8/F中層3,8,中層,3,3942275.0,11105.0,355.0,323,4,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
13/F高層3,13,高層,3,4104510.0,11562.0,355.0,374,4,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
4/F低層4,4,低層,4,4230160.0,11132.0,380.0,350,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
8/F中層4,8,中層,4,4060680.0,10686.0,380.0,274,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
13/F高層4,13,高層,4,4183040.0,11008.0,380.0,266,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
4/F低層5,4,低層,5,3872600.0,11560.0,335.0,355,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
8/F中層5,8,中層,5,3725870.0,11122.0,335.0,273,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
13/F高層5,13,高層,5,3837425.0,11455.0,335.0,261,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
4/F低層6,4,低層,6,3409245.0000000005,10823.0,315.0,217,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
8/F中層6,8,中層,6,3492405.0000000005,11087.0,315.0,217,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
13/F高層6,13,高層,6,2626771.44230537,12084.0,220.0,321,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
4/F低層7,4,低層,7,3409245.0000000005,10823.0,315.0,217,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
8/F中層7,8,中層,7,3492405.0000000005,11087.0,315.0,217,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
13/F高層7,13,高層,7,3511043.9999999995,11474.0,306.0,202,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
4/F低層8,4,低層,8,3455039.9999999995,10797.0,320.0,220,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
8/F中層8,8,中層,8,3539200.0,11060.0,320.0,220,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
13/F高層8,13,高層,8,3646400.0,11395.0,320.0,211,3,KHH,"LOONG KING MANSION(Block D),MA TAU WAI RD|隆基大樓D座,馬頭圍道"
