,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
4/F低層A,4,低層,A,7136564.0,14188.0,503.0,356,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
9/F中層A,9,中層,A,7362411.000000001,14637.0,503.0,378,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
14/F高層A,14,高層,A,7585743.0,15081.0,503.0,379,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
4/F低層B,4,低層,B,8501616.0,12357.0,688.0,365,3,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
9/F中層B,9,中層,B,8880704.0,12908.0,688.0,367,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
14/F高層B,14,高層,B,9160032.0,13314.0,688.0,347,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
4/F低層C,4,低層,C,9061648.0,13171.0,688.0,310,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
9/F中層C,9,中層,C,9313456.0,13537.0,688.0,319,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
14/F高層C,14,高層,C,9618928.0,13981.0,688.0,316,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
4/F低層D,4,低層,D,7176804.0,14268.0,503.0,340,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
9/F中層D,9,中層,D,7375992.0,14664.0,503.0,360,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
14/F高層D,14,高層,D,7608378.0,15126.0,503.0,376,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
4/F低層E,4,低層,E,7138576.0,14192.0,503.0,364,3,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
9/F中層E,9,中層,E,7326698.0,14566.0,503.0,372,3,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
14/F高層E,14,高層,E,7551035.999999999,15012.0,503.0,402,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
4/F低層F,4,低層,F,8961200.0,13025.0,688.0,356,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
9/F中層F,9,中層,F,9234336.0,13422.0,688.0,353,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
14/F高層F,14,高層,F,9538432.0,13864.0,688.0,348,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
4/F低層G,4,低層,G,9061648.0,13171.0,688.0,310,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
9/F中層G,9,中層,G,9313456.0,13537.0,688.0,319,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
14/F高層G,14,高層,G,9618928.0,13981.0,688.0,316,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
4/F低層H,4,低層,H,7104371.999999999,14124.0,503.0,361,5,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
9/F中層H,9,中層,H,7292494.0,14498.0,503.0,307,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
14/F高層H,14,高層,H,7519850.0,14950.0,503.0,309,4,KHH,"OAK MANSION(Block 5,Phase 5,WHAMPOA GARDEN),7 TAK FUNG ST|黃埔花園,5期,5座(青樺苑),7 德豐街"
