,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層1,3.0,低層,1,5294975,13405,395,318,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層1,6.0,中層,1,5377135,13613,395,326,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層1,9.0,高層,1,5461270,13826,395,326,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層10,3.0,低層,10,5336400,13341,400,315,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層10,6.0,中層,10,5419600,13549,400,323,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層10,9.0,高層,10,5504400,13761,400,323,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層11,3.0,低層,11,5211360,13536,385,318,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層11,6.0,中層,11,5292210,13746,385,326,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層11,9.0,高層,11,5375370,13962,385,326,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層12,3.0,低層,12,5294975,13405,395,318,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層12,6.0,中層,12,5377135,13613,395,326,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層12,9.0,高層,12,5461270,13826,395,326,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層13,3.0,低層,13,5294975,13405,395,318,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層13,6.0,中層,13,5377135,13613,395,326,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層13,9.0,高層,13,5461270,13826,395,326,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層14,3.0,低層,14,5336400,13341,400,315,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層14,6.0,中層,14,5419600,13549,400,323,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層14,9.0,高層,14,5504400,13761,400,323,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層15,3.0,低層,15,4874160,14128,345,365,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層15,6.0,中層,15,4950750,14350,345,376,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層15,9.0,高層,15,5062530,14674,345,327,3,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層16,3.0,低層,16,5087440,13388,380,330,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層16,6.0,中層,16,5165340,13593,380,340,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層16,9.0,高層,16,5232600,13770,380,342,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層17,3.0,低層,17,5253690,13471,390,319,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層17,6.0,中層,17,5335200,13680,390,327,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層17,9.0,高層,17,5419050,13895,390,327,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層18,3.0,低層,18,5253690,13471,390,319,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層18,6.0,中層,18,5270070,13513,390,321,3,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層18,9.0,高層,18,5419050,13895,390,327,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層19,3.0,低層,19,5253690,13471,390,319,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層19,6.0,中層,19,5335200,13680,390,327,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層19,9.0,高層,19,5419050,13895,390,327,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層2,3.0,低層,2,5336400,13341,400,315,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層2,6.0,中層,2,5419600,13549,400,323,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
9.0/F高層2,9.0,高層,2,5504400,13761,400,323,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
3.0/F低層20,3.0,低層,20,5752440,13224,435,297,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
6.0/F中層20,6.0,中層,20,5842485,13431,435,305,4,KKT,"KWUN TONG MANS,YUET WAH ST|觀塘大廈,月華街"
