,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層3,2.0,低層,3,3109981.2598035317,8836.0,310,317,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
3.0/F中層3,3.0,中層,3,3122652.0752576883,8872.0,310,318,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
4.0/F高層3,4.0,高層,3,3128635.515888818,8889.0,310,337,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
2.0/F低層5,2.0,低層,5,2850012.932373675,10154.0,205,307,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
3.0/F中層5,3.0,中層,5,2858433.2975471253,10184.0,205,290,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
4.0/F高層5,4.0,高層,5,3073707.1213229834,7610.0,295,342,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
2.0/F低層6A,2.0,低層,6A,2931007.1268913,9122.0,283,323,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
3.0/F中層6A,3.0,中層,6A,2926187.448432259,9107.0,283,274,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
4.0/F高層6A,4.0,高層,6A,2939361.236220304,9148.0,283,275,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
2.0/F低層7,2.0,低層,7,2518063.434635972,10081.0,220,196,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
3.0/F中層7,3.0,中層,7,3153988.5005744197,8681.0,320,327,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
4.0/F高層7,4.0,高層,7,3147812.045729383,8664.0,320,279,3,KKT,"LAP HING BLDG,TING ON ST|立興大樓,定安街"
