,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A,3.0,低層,A,6989166,11826,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
6.0/F中層A,6.0,中層,A,7070724,11964,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
10.0/F高層A,10.0,高層,A,7178877,12147,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
3.0/F低層B,3.0,低層,B,6584706,11994,549,143,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
6.0/F中層B,6.0,中層,B,6659919,12131,549,143,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
10.0/F高層B,10.0,高層,B,6759837,12313,549,143,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
3.0/F低層C,3.0,低層,C,6989166,11826,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
6.0/F中層C,6.0,中層,C,7070724,11964,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
10.0/F高層C,10.0,高層,C,7178877,12147,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
3.0/F低層D,3.0,低層,D,7109139,12029,591,194,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
6.0/F中層D,6.0,中層,D,7194243,12173,591,193,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
10.0/F高層D,10.0,高層,D,7305942,12362,591,191,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
3.0/F低層E,3.0,低層,E,6758676,11436,591,258,3,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
6.0/F中層E,6.0,中層,E,6848508,11588,591,256,3,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
10.0/F高層E,10.0,高層,E,6972618,11798,591,250,3,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
3.0/F低層F,3.0,低層,F,6548472,11928,549,239,3,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
6.0/F中層F,6.0,中層,F,6633018,12082,549,241,3,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
10.0/F高層F,10.0,高層,F,6746112,12288,549,235,3,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
3.0/F低層G,3.0,低層,G,6989166,11826,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
6.0/F中層G,6.0,中層,G,7070724,11964,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
10.0/F高層G,10.0,高層,G,7178877,12147,591,152,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
3.0/F低層H,3.0,低層,H,6863283,11613,591,185,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
6.0/F中層H,6.0,中層,H,6943659,11749,591,187,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
10.0/F高層H,10.0,高層,H,7050039,11929,591,189,2,KKT,"SZE HING BLDG,YUET WAH ST|時興大廈,月華街"
