,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層16,6.0,低層,16,2471394.0,8922.0,277,169,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
10.0/F中層16,10.0,中層,16,2511836.0,9068.0,277,167,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
16.0/F高層16,16.0,高層,16,2583025.0,9325.0,277,155,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
6.0/F低層34,6.0,低層,34,2836786.6706835367,9020.0,277,266,3,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
10.0/F中層34,10.0,中層,34,2899057.59760098,9218.0,277,266,3,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
16.0/F高層34,16.0,高層,34,2990891.4898226648,9510.0,277,257,3,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
6.0/F低層7,6.0,低層,7,2471394.0,8922.0,277,169,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
10.0/F中層7,10.0,中層,7,2511836.0,9068.0,277,167,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
16.0/F高層7,16.0,高層,7,2583025.0,9325.0,277,155,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
6.0/F低層8,6.0,低層,8,2429567.0,8771.0,277,211,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
10.0/F中層8,10.0,中層,8,2469455.0,8915.0,277,210,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
16.0/F高層8,16.0,高層,8,2539813.0,9169.0,277,195,2,KKT,"TSUI YEUNG HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠楊樓),翠屏道"
