,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
10.0/F低層A,10.0,低層,A,10506530.0,15338.0,685.0,312,4,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
20.0/F中層A,20.0,中層,A,11102944.0,16138.0,688.0,336,5,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
29.0/F高層A,29.0,高層,A,11705632.0,17014.0,688.0,320,5,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
10.0/F低層A-D,10.0,低層,A-D,,,2155.0,,,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
20.0/F中層A-D,20.0,中層,A-D,,,2155.0,,,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
29.0/F高層A-D,29.0,高層,A-D,,,2155.0,,,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
10.0/F低層B,10.0,低層,B,7826392.0,16442.0,476.0,407,3,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
20.0/F中層B,20.0,中層,B,8443955.0,17555.0,481.0,369,3,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
29.0/F高層B,29.0,高層,B,8937942.0,18582.0,481.0,353,3,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
10.0/F低層C,10.0,低層,C,7818052.0,16153.0,484.0,340,4,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
20.0/F中層C,20.0,中層,C,8003040.0,16673.0,480.0,342,3,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
29.0/F高層C,29.0,高層,C,8826224.0,18236.0,484.0,348,4,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
10.0/F低層D,10.0,低層,D,8189628.0,16314.0,502.0,345,4,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
20.0/F中層D,20.0,中層,D,8187118.0,16309.0,502.0,319,4,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
29.0/F高層D,29.0,高層,D,9203166.0,18333.0,502.0,313,4,KMK,"CITE 33,LAI CHI KOK RD|百匯軒,荔枝角道"
