,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
9/F低層1,9,低層,1,6161540,16004,385,360,4,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
20/F中層1,20,中層,1,6297060,16356,385,389,4,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
30/F高層1,30,高層,1,6546155,17003,385,372,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
9/F低層2,9,低層,2,5925150,15390,385,374,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
20/F中層2,20,中層,2,6197730,16098,385,379,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
30/F高層2,30,高層,2,6626620,17212,385,371,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
9/F低層3,9,低層,3,6108700,16510,370,405,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
20/F中層3,20,中層,3,6408030,17319,370,367,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
30/F高層3,30,高層,3,6375470,17231,370,406,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
9/F低層4,9,低層,4,5959960,16108,370,373,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
20/F中層4,20,中層,4,6176780,16694,370,416,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
30/F高層4,30,高層,4,6413210,17333,370,398,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
9/F低層5,9,低層,5,6485325,16845,385,391,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
20/F中層5,20,中層,5,6531140,16964,385,326,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
30/F高層5,30,高層,5,6741735,17511,385,411,4,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
9/F低層6,9,低層,6,6257790,16254,385,357,4,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
20/F中層6,20,中層,6,6367130,16538,385,383,4,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
30/F高層6,30,高層,6,6576570,17082,385,334,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
9/F低層7,9,低層,7,5986600,16180,370,364,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
20/F中層7,20,中層,7,6220070,16811,370,359,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
30/F高層7,30,高層,7,6431340,17382,370,344,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
9/F低層8,9,低層,8,6260770,16921,370,378,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
20/F中層8,20,中層,8,6238940,16862,370,371,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
30/F高層8,30,高層,8,6424310,17363,370,381,3,KNTK,"AMOY GARDENS(Phase 2A),Block H,NGAU TAU KOK RD|淘大花園2A期,H座,牛頭角道"
