,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
1.0/F低層A,1.0,低層,A,15358319.999999998,21331.0,720.0,114,1,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
2.0/F中層A,2.0,中層,A,15525360.000000002,21563.0,720.0,116,1,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
3.0/F高層A,3.0,高層,A,15692400.0,21795.0,720.0,150,1,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
1.0/F低層B,1.0,低層,B,16871120.0,17948.0,940.0,176,2,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
2.0/F中層B,2.0,中層,B,17056300.0,18145.0,940.0,179,2,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
3.0/F高層B,3.0,高層,B,17075100.0,18165.0,940.0,214,2,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
1.0/F低層C,1.0,低層,C,11087792.062349636,7801.0,585.0,268,2,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
2.0/F中層C,2.0,中層,C,11119061.313134369,7823.0,585.0,450,3,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
3.0/F高層C,3.0,高層,C,11326575.431978498,7969.0,585.0,268,2,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
1.0/F低層D,1.0,低層,D,17038530.0,18321.0,930.0,138,2,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
2.0/F中層D,2.0,中層,D,17226390.0,18523.0,930.0,140,2,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
3.0/F高層D,3.0,高層,D,17413320.0,18724.0,930.0,142,2,KSKM,"KING HONG COURT,VERBENA RD|景康閣,地錦路"
